No,Name,Student ID,Programme,Group,Year/Sem,Current Time,Status
111,Dianemarie Bulfield,42WMR15704,RWS,8,Year 1 Sem 2,,Absent
114,Kipp Allender,81WMR95450,RWS,1,Year 2 Sem 1,,Absent
116,Lacie Vogelein,67WMR95530,RWS,9,Year 2 Sem 2,,Absent
120,Lacy Sambath,47WMR31362,RWS,4,Year 2 Sem 1,,Absent
121,Alvera Rimour,62WMR07074,RWS,1,Year 3 Sem 1,,Absent
123,Standford Ryder,92WMR42139,RWS,11,Year 3 Sem 2,,Absent
129,Jefferson Driffe,38WMR71442,RWS,5,Year 3 Sem 2,,Absent
135,Swen Heale,50WMR96908,RWS,2,Year 1 Sem 3,,Absent
136,Sylvia Berthelmot,11WMR92530,RWS,4,Year 3 Sem 1,,Absent
140,Fayette Lias,64WMR01419,RWS,5,Year 2 Sem 1,,Absent
145,Maddalena Sawfoot,10WMR88652,RWS,5,Year 2 Sem 2,,Absent
153,Brand Paxman,52WMR37005,RWS,0,Year 3 Sem 3,,Absent
157,Durante Godfery,07WMR91235,RWS,7,Year 3 Sem 1,,Absent
162,Phylis Minichi,76WMR80418,RWS,7,Year 3 Sem 1,,Absent
163,Zechariah Bras,99WMR20764,RWS,8,Year 2 Sem 2,,Absent
165,Moise Grimsdale,89WMR66702,RWS,7,Year 1 Sem 2,,Absent
168,Benedicto Hall-Gough,15WMR38648,RWS,4,Year 3 Sem 2,,Absent
174,Pattie Mieville,78WMR77619,RWS,11,Year 2 Sem 1,,Absent
177,Sigrid McKnockiter,11WMR10397,RWS,1,Year 1 Sem 3,,Absent
178,Connie Sainsbury-Brown,07WMR25484,RWS,2,Year 2 Sem 2,,Absent
179,Trix Huckleby,65WMR41366,RWS,8,Year 2 Sem 3,,Absent
182,Noland Blevin,46WMR44671,RWS,1,Year 3 Sem 3,,Absent
187,Nonna Pottberry,81WMR36109,RWS,0,Year 1 Sem 2,,Absent
196,Leese Pesik,10WMR33321,RWS,2,Year 3 Sem 2,,Absent
200,Giraud Addams,45WMR51772,RWS,3,Year 3 Sem 3,,Absent
202,Barri Detloff,50WMR91352,RWS,10,Year 2 Sem 3,,Absent
217,Josselyn Whelpdale,86WMR85321,RWS,3,Year 1 Sem 3,,Absent
221,Mitchel Coppen,35WMR00033,RWS,4,Year 2 Sem 2,,Absent
235,Tamqrah Brotherheed,84WMR61303,RWS,7,Year 1 Sem 2,,Absent
246,Krystyna Ruselin,56WMR08220,RWS,9,Year 2 Sem 1,,Absent
254,Baillie MacComiskey,00WMR07591,RWS,4,Year 1 Sem 3,,Absent
257,Dilan Crayton,90WMR03389,RWS,3,Year 1 Sem 1,,Absent
260,Lamar Wordsley,05WMR47735,RWS,8,Year 1 Sem 2,,Absent
262,Barbie Robelin,99WMR62628,RWS,9,Year 2 Sem 1,,Absent
265,Bryanty Deighton,74WMR20960,RWS,9,Year 2 Sem 3,,Absent
266,Wayne Merner,40WMR42550,RWS,10,Year 1 Sem 3,,Absent
267,Ros Silber,29WMR23307,RWS,5,Year 3 Sem 1,,Absent
268,Fey Casterou,58WMR34325,RWS,0,Year 3 Sem 3,,Absent
269,Kathryn Riping,39WMR17143,RWS,4,Year 2 Sem 1,,Absent
270,Dud Sedman,44WMR47275,RWS,9,Year 1 Sem 3,,Absent
276,Gabie McQuaid,07WMR97570,RWS,6,Year 3 Sem 1,,Absent
283,Petrina Crosthwaite,40WMR43976,RWS,2,Year 3 Sem 1,,Absent
291,Maria Jahan,28WMR71307,RWS,2,Year 3 Sem 1,,Absent
294,Abbe Baden,11WMR58279,RWS,6,Year 1 Sem 2,,Absent
306,Mikey Barstow,34WMR61321,RWS,6,Year 1 Sem 3,,Absent
309,Thomasine Tanti,29WMR77303,RWS,7,Year 3 Sem 2,,Absent
312,Rowland Craze,44WMR83137,RWS,5,Year 2 Sem 1,,Absent
314,Harriet Armin,05WMR70443,RWS,6,Year 3 Sem 2,,Absent
320,Tobit Chatburn,07WMR90984,RWS,6,Year 3 Sem 3,,Absent
327,Ignaz Wigfield,09WMR21010,RWS,3,Year 2 Sem 1,,Absent
329,Don Bapty,92WMR89220,RWS,0,Year 2 Sem 3,,Absent
337,Hubey Hulse,44WMR74484,RWS,2,Year 1 Sem 2,,Absent
341,Hilary Beatens,38WMR53205,RWS,4,Year 1 Sem 3,,Absent
342,Carlie Chartre,19WMR82542,RWS,6,Year 1 Sem 2,,Absent
346,Giulietta Maypowder,66WMR44231,RWS,9,Year 1 Sem 1,,Absent
348,Carmelita Sheppard,88WMR09765,RWS,6,Year 1 Sem 2,,Absent
354,Gabriellia Rabbet,81WMR69960,RWS,11,Year 1 Sem 2,,Absent
357,Lacee Gillion,50WMR26475,RWS,7,Year 1 Sem 3,,Absent
358,Dianne Ambrogi,72WMR97038,RWS,7,Year 2 Sem 2,,Absent
360,Sheri Westney,21WMR14718,RWS,7,Year 1 Sem 1,,Absent
361,Waylan Cisar,43WMR18707,RWS,6,Year 1 Sem 2,,Absent
380,Cherry Dorin,52WMR28818,RWS,7,Year 1 Sem 2,,Absent
382,Leona Toke,21WMR63568,RWS,9,Year 2 Sem 2,,Absent
392,Madelene Taggerty,26WMR17741,RWS,9,Year 2 Sem 3,,Absent
393,Keefer Mullett,79WMR33405,RWS,4,Year 1 Sem 2,,Absent
397,Lesly Campa,08WMR63172,RWS,1,Year 2 Sem 1,,Absent
398,Rock Blagdon,92WMR19279,RWS,7,Year 2 Sem 1,,Absent
402,Klara Carden,00WMR56233,RWS,3,Year 3 Sem 1,,Absent
403,Waylen Salvatore,48WMR45172,RWS,9,Year 3 Sem 1,,Absent
405,Charyl Piegrome,29WMR64193,RWS,10,Year 2 Sem 3,,Absent
408,Ailina Dannehl,48WMR29569,RWS,6,Year 2 Sem 2,,Absent
410,Carlye Craighall,04WMR68561,RWS,0,Year 2 Sem 2,,Absent
415,Gaspar McTear,48WMR93611,RWS,0,Year 2 Sem 2,,Absent
433,Rudy Barnewall,75WMR54147,RWS,11,Year 3 Sem 3,,Absent
439,Kerstin Verman,37WMR54254,RWS,6,Year 1 Sem 1,,Absent
441,Melonie Howerd,44WMR59823,RWS,7,Year 3 Sem 2,,Absent
442,Neils Espadas,76WMR15596,RWS,2,Year 3 Sem 3,,Absent
444,Salvatore Thripp,76WMR46787,RWS,2,Year 1 Sem 2,,Absent
445,Celina Jepperson,43WMR00368,RWS,10,Year 2 Sem 1,,Absent
452,Shelagh Peterken,17WMR51772,RWS,9,Year 1 Sem 2,,Absent
458,Cherry Hibling,92WMR15761,RWS,1,Year 2 Sem 3,,Absent
459,Candi Maycey,91WMR55454,RWS,9,Year 1 Sem 3,,Absent
463,Wynnie Artz,60WMR22518,RWS,0,Year 3 Sem 1,,Absent
468,Ronica Bristoe,49WMR74683,RWS,1,Year 2 Sem 3,,Absent
472,Diana Golson,46WMR66168,RWS,3,Year 1 Sem 1,,Absent
474,Kikelia Fiddiman,92WMR17411,RWS,7,Year 3 Sem 1,,Absent
477,Alano Firpo,97WMR00672,RWS,5,Year 2 Sem 1,,Absent
478,Agata Derle,30WMR55070,RWS,3,Year 3 Sem 3,,Absent
486,Kirby Bracchi,62WMR74221,RWS,5,Year 3 Sem 2,,Absent
495,Huntley Keeney,44WMR45627,RWS,6,Year 3 Sem 1,,Absent
496,Jordanna Cocks,34WMR12097,RWS,5,Year 3 Sem 3,,Absent
498,Bayard Fishpool,76WMR73219,RWS,7,Year 1 Sem 2,,Absent
503,Donna Rabjohn,21WMR46504,RWS,2,Year 2 Sem 3,,Absent
504,Thurston Monkley,72WMR38450,RWS,5,Year 2 Sem 1,,Absent
505,Teddie Job,81WMR97414,RWS,4,Year 3 Sem 3,,Absent
507,Eva Brailey,89WMR86590,RWS,5,Year 3 Sem 3,,Absent
513,Reamonn Leabeater,39WMR53778,RWS,7,Year 3 Sem 2,,Absent
514,Hatty Norman,71WMR11541,RWS,10,Year 3 Sem 2,,Absent
523,Waldemar Kaasman,14WMR14559,RWS,7,Year 1 Sem 1,,Absent
524,Faydra Brounsell,26WMR25008,RWS,8,Year 3 Sem 2,,Absent
525,Gavrielle Roo,00WMR41246,RWS,1,Year 3 Sem 3,,Absent
528,Raymund Robey,70WMR05211,RWS,8,Year 1 Sem 1,,Absent
529,Haslett Bloys,29WMR58992,RWS,1,Year 2 Sem 2,,Absent
537,Rafe Campanelle,55WMR21166,RWS,1,Year 1 Sem 1,,Absent
538,Demeter Siely,95WMR39085,RWS,1,Year 1 Sem 3,,Absent
540,Arabele Craske,02WMR98611,RWS,10,Year 3 Sem 2,,Absent
545,Beulah Treanor,02WMR83717,RWS,2,Year 3 Sem 3,,Absent
546,Bobby Corris,58WMR62403,RWS,6,Year 2 Sem 2,,Absent
551,Eduardo Gadie,10WMR51249,RWS,4,Year 1 Sem 3,,Absent
555,Leah Bauer,41WMR29285,RWS,2,Year 2 Sem 1,,Absent
557,Delia Gadd,75WMR66902,RWS,0,Year 1 Sem 1,,Absent
558,Astrid Armitage,24WMR56483,RWS,0,Year 1 Sem 3,,Absent
562,Bobby Darrington,95WMR00141,RWS,7,Year 1 Sem 2,,Absent
571,Gaby Maffioni,64WMR15919,RWS,5,Year 1 Sem 2,,Absent
576,Towny Okell,11WMR47978,RWS,4,Year 3 Sem 3,,Absent
583,Binni Jacke,09WMR74899,RWS,8,Year 2 Sem 1,,Absent
584,Nari Losebie,95WMR82187,RWS,7,Year 3 Sem 2,,Absent
589,Brendis Arber,58WMR94886,RWS,8,Year 3 Sem 1,,Absent
590,Esdras Stanfield,79WMR58112,RWS,7,Year 1 Sem 1,,Absent
591,Gaspar Dickson,46WMR94965,RWS,11,Year 2 Sem 1,,Absent
596,Correna Emlen,95WMR56021,RWS,4,Year 1 Sem 2,,Absent
598,Eadie Kinker,79WMR35260,RWS,2,Year 1 Sem 3,,Absent
602,Gunar Maso,31WMR54446,RWS,2,Year 2 Sem 3,,Absent
613,Sarge Ogden,22WMR73860,RWS,9,Year 1 Sem 2,,Absent
615,Cicely Trevett,43WMR19637,RWS,0,Year 3 Sem 1,,Absent
619,Domenico Florey,87WMR87888,RWS,1,Year 3 Sem 3,,Absent
622,Hubie Tunkin,95WMR10875,RWS,9,Year 1 Sem 1,,Absent
623,Vera Tudball,08WMR33418,RWS,7,Year 1 Sem 3,,Absent
624,Nefen Carnduff,42WMR91946,RWS,5,Year 1 Sem 2,,Absent
626,Othella Langham,73WMR29621,RWS,0,Year 2 Sem 1,,Absent
632,Jedd Cribbott,51WMR80943,RWS,8,Year 1 Sem 3,,Absent
633,Duffy Meineking,63WMR27111,RWS,4,Year 2 Sem 1,,Absent
635,Mari Balsillie,38WMR26007,RWS,5,Year 3 Sem 2,,Absent
640,Inessa Girard,43WMR24963,RWS,4,Year 1 Sem 3,,Absent
644,Alon Bruck,96WMR05837,RWS,1,Year 1 Sem 1,,Absent
663,Tedie Newvell,51WMR94964,RWS,10,Year 2 Sem 1,,Absent
666,Sumner Jouaneton,85WMR78173,RWS,11,Year 2 Sem 2,,Absent
675,Nicola Coultard,67WMR67279,RWS,8,Year 3 Sem 3,,Absent
678,Valera Weatherall,91WMR69706,RWS,10,Year 2 Sem 2,,Absent
679,Josie MacVanamy,88WMR72461,RWS,7,Year 2 Sem 3,,Absent
682,Marci Considine,22WMR22997,RWS,6,Year 3 Sem 2,,Absent
693,Sacha Fargher,13WMR15812,RWS,5,Year 2 Sem 3,,Absent
694,Sascha Lunk,98WMR83361,RWS,1,Year 2 Sem 3,,Absent
695,Whitaker Pickhaver,54WMR66443,RWS,6,Year 1 Sem 2,,Absent
696,Debby Spencock,37WMR02102,RWS,2,Year 1 Sem 2,,Absent
697,Wyn Beecham,21WMR13403,RWS,10,Year 1 Sem 1,,Absent
698,Jaymie Abden,34WMR13663,RWS,7,Year 1 Sem 3,,Absent
702,Ethelda MacNab,14WMR81410,RWS,0,Year 2 Sem 2,,Absent
703,Bab Glenwright,08WMR64429,RWS,1,Year 2 Sem 1,,Absent
711,Vernon Schwerin,24WMR34579,RWS,5,Year 2 Sem 2,,Absent
715,Lindsey Sunley,47WMR85644,RWS,0,Year 3 Sem 1,,Absent
724,Jerrome Brucker,09WMR14334,RWS,9,Year 3 Sem 3,,Absent
730,Pietro Ingarfield,44WMR07208,RWS,9,Year 3 Sem 1,,Absent
731,Fin Gerrens,92WMR46337,RWS,9,Year 2 Sem 1,,Absent
745,Lindsay Kuschel,48WMR14893,RWS,11,Year 1 Sem 3,,Absent
747,Merralee Lanktree,84WMR53202,RWS,10,Year 3 Sem 2,,Absent
748,Roz Janisson,80WMR34962,RWS,4,Year 1 Sem 1,,Absent
749,Aaron Cronk,52WMR11408,RWS,3,Year 3 Sem 3,,Absent
751,Berty Ollivierre,99WMR32063,RWS,10,Year 3 Sem 3,,Absent
752,Tammie Burkin,19WMR20355,RWS,3,Year 2 Sem 1,,Absent
754,Monique Dugget,60WMR31835,RWS,10,Year 1 Sem 3,,Absent
757,Molly Arr,13WMR25479,RWS,2,Year 1 Sem 1,,Absent
758,Gael Byrcher,06WMR77214,RWS,9,Year 1 Sem 1,,Absent
759,Isaiah Buttner,34WMR52690,RWS,2,Year 1 Sem 1,,Absent
766,Terrijo Geraldez,56WMR55589,RWS,7,Year 1 Sem 1,,Absent
769,Emyle Basey,86WMR09218,RWS,4,Year 3 Sem 1,,Absent
771,Sigvard Sherar,35WMR79319,RWS,7,Year 2 Sem 3,,Absent
776,Cedric Biswell,45WMR65112,RWS,10,Year 3 Sem 1,,Absent
780,Callean Milleton,03WMR09046,RWS,8,Year 2 Sem 2,,Absent
790,Jackson Lindell,58WMR66967,RWS,11,Year 2 Sem 2,,Absent
791,Nerty Beaven,51WMR35897,RWS,8,Year 2 Sem 3,,Absent
797,Ania Matuszynski,60WMR22411,RWS,5,Year 2 Sem 3,,Absent
800,Garik Sabine,78WMR15414,RWS,6,Year 1 Sem 2,,Absent
817,Emelen Gasking,86WMR66445,RWS,1,Year 3 Sem 1,,Absent
818,Maximo Lochrie,96WMR29723,RWS,5,Year 1 Sem 1,,Absent
830,Julio Mahoney,62WMR39995,RWS,5,Year 1 Sem 3,,Absent
834,Yoshiko Waylett,42WMR08933,RWS,11,Year 3 Sem 3,,Absent
839,Noelyn Wratten,52WMR58534,RWS,7,Year 3 Sem 3,,Absent
841,Alena Courtliff,85WMR94972,RWS,5,Year 2 Sem 1,,Absent
844,Winnah Panner,24WMR82694,RWS,7,Year 3 Sem 1,,Absent
845,Adham Dolligon,62WMR23281,RWS,0,Year 2 Sem 1,,Absent
846,Isador Pratte,22WMR90055,RWS,9,Year 2 Sem 3,,Absent
853,Geoffrey Claris,11WMR33589,RWS,5,Year 1 Sem 3,,Absent
856,Zena Lambrechts,02WMR37671,RWS,10,Year 2 Sem 1,,Absent
861,Deeanne Dobing,15WMR66426,RWS,6,Year 2 Sem 2,,Absent
862,Gael Chalcroft,48WMR83900,RWS,6,Year 2 Sem 2,,Absent
866,Maxie Ottey,06WMR70054,RWS,5,Year 2 Sem 2,,Absent
869,Jimmy Macbane,56WMR87038,RWS,3,Year 1 Sem 1,,Absent
885,Dorella Corringham,14WMR49831,RWS,6,Year 2 Sem 1,,Absent
906,Booth Nann,58WMR71447,RWS,6,Year 1 Sem 3,,Absent
907,Natalie Hallen,16WMR57219,RWS,8,Year 3 Sem 3,,Absent
917,Lucien Kershow,46WMR97992,RWS,5,Year 1 Sem 2,,Absent
930,Byrle Schwandermann,99WMR67293,RWS,0,Year 1 Sem 2,,Absent
933,Ellary Cecil,30WMR10182,RWS,2,Year 2 Sem 2,,Absent
935,Donny De Witt,40WMR93429,RWS,4,Year 2 Sem 3,,Absent
941,Pail Hollyer,84WMR00959,RWS,2,Year 2 Sem 1,,Absent
944,Renee Laux,40WMR29068,RWS,2,Year 1 Sem 1,,Absent
946,Engracia Druitt,98WMR83147,RWS,6,Year 2 Sem 3,,Absent
948,Keen Mingay,36WMR63996,RWS,10,Year 2 Sem 2,,Absent
954,Ryann Simmance,96WMR86347,RWS,7,Year 3 Sem 2,,Absent
961,Putnam McIlvaney,84WMR69285,RWS,4,Year 1 Sem 1,,Absent
962,Cathy Dorkin,16WMR35521,RWS,9,Year 1 Sem 2,,Absent
964,Mallorie Cadle,82WMR23269,RWS,8,Year 3 Sem 2,,Absent
966,Toby Josuweit,87WMR13617,RWS,8,Year 2 Sem 2,,Absent
968,Steffi Niland,43WMR76848,RWS,0,Year 1 Sem 3,,Absent
969,Marlee Weddeburn,32WMR67316,RWS,3,Year 2 Sem 1,,Absent
970,Loella Bonanno,81WMR52503,RWS,6,Year 2 Sem 3,,Absent
973,Payton Arnout,00WMR16510,RWS,0,Year 3 Sem 2,,Absent
975,Marjorie Pomfrey,44WMR89963,RWS,11,Year 2 Sem 3,,Absent
979,Francesca Vanderson,96WMR20974,RWS,5,Year 2 Sem 1,,Absent
981,Demetra Pumphrey,54WMR60695,RWS,11,Year 2 Sem 3,,Absent
987,Anya Corington,26WMR84413,RWS,5,Year 1 Sem 3,,Absent
988,Cammy McKean,32WMR63214,RWS,6,Year 2 Sem 2,,Absent
992,Mariejeanne Domenc,74WMR21670,RWS,7,Year 1 Sem 2,,Absent
1000,Alix Asmus,55WMR33084,RWS,1,Year 1 Sem 2,,Absent
