Name,Student ID,Programme,Group,Year/Sem,Status,Current Time
Dianemarie Bulfield,42WMR15704,RWS,8.0,Year 1 Sem 2,Absent,
Kipp Allender,81WMR95450,RWS,1.0,Year 2 Sem 1,Absent,
Lacie Vogelein,67WMR95530,RWS,9.0,Year 2 Sem 2,Absent,
Lacy Sambath,47WMR31362,RWS,4.0,Year 2 Sem 1,Absent,
Alvera Rimour,62WMR07074,RWS,1.0,Year 3 Sem 1,Absent,
Standford Ryder,92WMR42139,RWS,11.0,Year 3 Sem 2,Absent,
Jefferson Driffe,38WMR71442,RWS,5.0,Year 3 Sem 2,Absent,
Swen Heale,50WMR96908,RWS,2.0,Year 1 Sem 3,Absent,
Sylvia Berthelmot,11WMR92530,RWS,4.0,Year 3 Sem 1,Absent,
Fayette Lias,64WMR01419,RWS,5.0,Year 2 Sem 1,Absent,
Maddalena Sawfoot,10WMR88652,RWS,5.0,Year 2 Sem 2,Absent,
Brand Paxman,52WMR37005,RWS,,Year 3 Sem 3,Absent,
Durante Godfery,07WMR91235,RWS,7.0,Year 3 Sem 1,Absent,
Phylis Minichi,76WMR80418,RWS,7.0,Year 3 Sem 1,Absent,
Zechariah Bras,99WMR20764,RWS,8.0,Year 2 Sem 2,Absent,
Moise Grimsdale,89WMR66702,RWS,7.0,Year 1 Sem 2,Absent,
Benedicto Hall-Gough,15WMR38648,RWS,4.0,Year 3 Sem 2,Absent,
Pattie Mieville,78WMR77619,RWS,11.0,Year 2 Sem 1,Absent,
Sigrid McKnockiter,11WMR10397,RWS,1.0,Year 1 Sem 3,Absent,
Connie Sainsbury-Brown,07WMR25484,RWS,2.0,Year 2 Sem 2,Absent,
Trix Huckleby,65WMR41366,RWS,8.0,Year 2 Sem 3,Absent,
Noland Blevin,46WMR44671,RWS,1.0,Year 3 Sem 3,Absent,
Nonna Pottberry,81WMR36109,RWS,,Year 1 Sem 2,Absent,
Leese Pesik,10WMR33321,RWS,2.0,Year 3 Sem 2,Absent,
Giraud Addams,45WMR51772,RWS,3.0,Year 3 Sem 3,Absent,
Barri Detloff,50WMR91352,RWS,10.0,Year 2 Sem 3,Absent,
Josselyn Whelpdale,86WMR85321,RWS,3.0,Year 1 Sem 3,Absent,
Mitchel Coppen,35WMR00033,RWS,4.0,Year 2 Sem 2,Absent,
Tamqrah Brotherheed,84WMR61303,RWS,7.0,Year 1 Sem 2,Absent,
Krystyna Ruselin,56WMR08220,RWS,9.0,Year 2 Sem 1,Absent,
Baillie MacComiskey,00WMR07591,RWS,4.0,Year 1 Sem 3,Absent,
Dilan Crayton,90WMR03389,RWS,3.0,Year 1 Sem 1,Absent,
Lamar Wordsley,05WMR47735,RWS,8.0,Year 1 Sem 2,Absent,
Barbie Robelin,99WMR62628,RWS,9.0,Year 2 Sem 1,Absent,
Bryanty Deighton,74WMR20960,RWS,9.0,Year 2 Sem 3,Absent,
Wayne Merner,40WMR42550,RWS,10.0,Year 1 Sem 3,Absent,
Ros Silber,29WMR23307,RWS,5.0,Year 3 Sem 1,Absent,
Fey Casterou,58WMR34325,RWS,,Year 3 Sem 3,Absent,
Kathryn Riping,39WMR17143,RWS,4.0,Year 2 Sem 1,Absent,
Dud Sedman,44WMR47275,RWS,9.0,Year 1 Sem 3,Absent,
Gabie McQuaid,07WMR97570,RWS,6.0,Year 3 Sem 1,Absent,
Petrina Crosthwaite,40WMR43976,RWS,2.0,Year 3 Sem 1,Absent,
Maria Jahan,28WMR71307,RWS,2.0,Year 3 Sem 1,Absent,
Abbe Baden,11WMR58279,RWS,6.0,Year 1 Sem 2,Absent,
Mikey Barstow,34WMR61321,RWS,6.0,Year 1 Sem 3,Absent,
Thomasine Tanti,29WMR77303,RWS,7.0,Year 3 Sem 2,Absent,
Rowland Craze,44WMR83137,RWS,5.0,Year 2 Sem 1,Absent,
Harriet Armin,05WMR70443,RWS,6.0,Year 3 Sem 2,Absent,
Tobit Chatburn,07WMR90984,RWS,6.0,Year 3 Sem 3,Absent,
Ignaz Wigfield,09WMR21010,RWS,3.0,Year 2 Sem 1,Absent,
Don Bapty,92WMR89220,RWS,,Year 2 Sem 3,Absent,
Hubey Hulse,44WMR74484,RWS,2.0,Year 1 Sem 2,Absent,
Hilary Beatens,38WMR53205,RWS,4.0,Year 1 Sem 3,Absent,
Carlie Chartre,19WMR82542,RWS,6.0,Year 1 Sem 2,Absent,
Giulietta Maypowder,66WMR44231,RWS,9.0,Year 1 Sem 1,Absent,
Carmelita Sheppard,88WMR09765,RWS,6.0,Year 1 Sem 2,Absent,
Gabriellia Rabbet,81WMR69960,RWS,11.0,Year 1 Sem 2,Absent,
Lacee Gillion,50WMR26475,RWS,7.0,Year 1 Sem 3,Absent,
Dianne Ambrogi,72WMR97038,RWS,7.0,Year 2 Sem 2,Absent,
Sheri Westney,21WMR14718,RWS,7.0,Year 1 Sem 1,Absent,
Waylan Cisar,43WMR18707,RWS,6.0,Year 1 Sem 2,Absent,
Cherry Dorin,52WMR28818,RWS,7.0,Year 1 Sem 2,Absent,
Leona Toke,21WMR63568,RWS,9.0,Year 2 Sem 2,Absent,
Madelene Taggerty,26WMR17741,RWS,9.0,Year 2 Sem 3,Absent,
Keefer Mullett,79WMR33405,RWS,4.0,Year 1 Sem 2,Absent,
Lesly Campa,08WMR63172,RWS,1.0,Year 2 Sem 1,Absent,
Rock Blagdon,92WMR19279,RWS,7.0,Year 2 Sem 1,Absent,
Klara Carden,00WMR56233,RWS,3.0,Year 3 Sem 1,Absent,
Waylen Salvatore,48WMR45172,RWS,9.0,Year 3 Sem 1,Absent,
Charyl Piegrome,29WMR64193,RWS,10.0,Year 2 Sem 3,Absent,
Ailina Dannehl,48WMR29569,RWS,6.0,Year 2 Sem 2,Absent,
Carlye Craighall,04WMR68561,RWS,,Year 2 Sem 2,Absent,
Gaspar McTear,48WMR93611,RWS,,Year 2 Sem 2,Absent,
Rudy Barnewall,75WMR54147,RWS,11.0,Year 3 Sem 3,Absent,
Kerstin Verman,37WMR54254,RWS,6.0,Year 1 Sem 1,Absent,
Melonie Howerd,44WMR59823,RWS,7.0,Year 3 Sem 2,Absent,
Neils Espadas,76WMR15596,RWS,2.0,Year 3 Sem 3,Absent,
Salvatore Thripp,76WMR46787,RWS,2.0,Year 1 Sem 2,Absent,
Celina Jepperson,43WMR00368,RWS,10.0,Year 2 Sem 1,Absent,
Shelagh Peterken,17WMR51772,RWS,9.0,Year 1 Sem 2,Absent,
Cherry Hibling,92WMR15761,RWS,1.0,Year 2 Sem 3,Absent,
Candi Maycey,91WMR55454,RWS,9.0,Year 1 Sem 3,Absent,
Wynnie Artz,60WMR22518,RWS,,Year 3 Sem 1,Absent,
Ronica Bristoe,49WMR74683,RWS,1.0,Year 2 Sem 3,Absent,
Diana Golson,46WMR66168,RWS,3.0,Year 1 Sem 1,Absent,
Kikelia Fiddiman,92WMR17411,RWS,7.0,Year 3 Sem 1,Absent,
Alano Firpo,97WMR00672,RWS,5.0,Year 2 Sem 1,Absent,
Agata Derle,30WMR55070,RWS,3.0,Year 3 Sem 3,Absent,
Kirby Bracchi,62WMR74221,RWS,5.0,Year 3 Sem 2,Absent,
Huntley Keeney,44WMR45627,RWS,6.0,Year 3 Sem 1,Absent,
Jordanna Cocks,34WMR12097,RWS,5.0,Year 3 Sem 3,Absent,
Bayard Fishpool,76WMR73219,RWS,7.0,Year 1 Sem 2,Absent,
Donna Rabjohn,21WMR46504,RWS,2.0,Year 2 Sem 3,Absent,
Thurston Monkley,72WMR38450,RWS,5.0,Year 2 Sem 1,Absent,
Teddie Job,81WMR97414,RWS,4.0,Year 3 Sem 3,Absent,
Eva Brailey,89WMR86590,RWS,5.0,Year 3 Sem 3,Absent,
Reamonn Leabeater,39WMR53778,RWS,7.0,Year 3 Sem 2,Absent,
Hatty Norman,71WMR11541,RWS,10.0,Year 3 Sem 2,Absent,
Waldemar Kaasman,14WMR14559,RWS,7.0,Year 1 Sem 1,Absent,
Faydra Brounsell,26WMR25008,RWS,8.0,Year 3 Sem 2,Absent,
Gavrielle Roo,00WMR41246,RWS,1.0,Year 3 Sem 3,Absent,
Raymund Robey,70WMR05211,RWS,8.0,Year 1 Sem 1,Absent,
Haslett Bloys,29WMR58992,RWS,1.0,Year 2 Sem 2,Absent,
Rafe Campanelle,55WMR21166,RWS,1.0,Year 1 Sem 1,Absent,
Demeter Siely,95WMR39085,RWS,1.0,Year 1 Sem 3,Absent,
Arabele Craske,02WMR98611,RWS,10.0,Year 3 Sem 2,Absent,
Beulah Treanor,02WMR83717,RWS,2.0,Year 3 Sem 3,Absent,
Bobby Corris,58WMR62403,RWS,6.0,Year 2 Sem 2,Absent,
Eduardo Gadie,10WMR51249,RWS,4.0,Year 1 Sem 3,Absent,
Leah Bauer,41WMR29285,RWS,2.0,Year 2 Sem 1,Absent,
Delia Gadd,75WMR66902,RWS,,Year 1 Sem 1,Absent,
Astrid Armitage,24WMR56483,RWS,,Year 1 Sem 3,Absent,
Bobby Darrington,95WMR00141,RWS,7.0,Year 1 Sem 2,Absent,
Gaby Maffioni,64WMR15919,RWS,5.0,Year 1 Sem 2,Absent,
Towny Okell,11WMR47978,RWS,4.0,Year 3 Sem 3,Absent,
Binni Jacke,09WMR74899,RWS,8.0,Year 2 Sem 1,Absent,
Nari Losebie,95WMR82187,RWS,7.0,Year 3 Sem 2,Absent,
Brendis Arber,58WMR94886,RWS,8.0,Year 3 Sem 1,Absent,
Esdras Stanfield,79WMR58112,RWS,7.0,Year 1 Sem 1,Absent,
Gaspar Dickson,46WMR94965,RWS,11.0,Year 2 Sem 1,Absent,
Correna Emlen,95WMR56021,RWS,4.0,Year 1 Sem 2,Absent,
Eadie Kinker,79WMR35260,RWS,2.0,Year 1 Sem 3,Absent,
Gunar Maso,31WMR54446,RWS,2.0,Year 2 Sem 3,Absent,
Sarge Ogden,22WMR73860,RWS,9.0,Year 1 Sem 2,Absent,
Cicely Trevett,43WMR19637,RWS,,Year 3 Sem 1,Absent,
Domenico Florey,87WMR87888,RWS,1.0,Year 3 Sem 3,Absent,
Hubie Tunkin,95WMR10875,RWS,9.0,Year 1 Sem 1,Absent,
Vera Tudball,08WMR33418,RWS,7.0,Year 1 Sem 3,Absent,
Nefen Carnduff,42WMR91946,RWS,5.0,Year 1 Sem 2,Absent,
Othella Langham,73WMR29621,RWS,,Year 2 Sem 1,Absent,
Jedd Cribbott,51WMR80943,RWS,8.0,Year 1 Sem 3,Absent,
Duffy Meineking,63WMR27111,RWS,4.0,Year 2 Sem 1,Absent,
Mari Balsillie,38WMR26007,RWS,5.0,Year 3 Sem 2,Absent,
Inessa Girard,43WMR24963,RWS,4.0,Year 1 Sem 3,Absent,
Alon Bruck,96WMR05837,RWS,1.0,Year 1 Sem 1,Absent,
Tedie Newvell,51WMR94964,RWS,10.0,Year 2 Sem 1,Absent,
Sumner Jouaneton,85WMR78173,RWS,11.0,Year 2 Sem 2,Absent,
Nicola Coultard,67WMR67279,RWS,8.0,Year 3 Sem 3,Absent,
Valera Weatherall,91WMR69706,RWS,10.0,Year 2 Sem 2,Absent,
Josie MacVanamy,88WMR72461,RWS,7.0,Year 2 Sem 3,Absent,
Marci Considine,22WMR22997,RWS,6.0,Year 3 Sem 2,Absent,
Sacha Fargher,13WMR15812,RWS,5.0,Year 2 Sem 3,Absent,
Sascha Lunk,98WMR83361,RWS,1.0,Year 2 Sem 3,Absent,
Whitaker Pickhaver,54WMR66443,RWS,6.0,Year 1 Sem 2,Absent,
Debby Spencock,37WMR02102,RWS,2.0,Year 1 Sem 2,Absent,
Wyn Beecham,21WMR13403,RWS,10.0,Year 1 Sem 1,Absent,
Jaymie Abden,34WMR13663,RWS,7.0,Year 1 Sem 3,Absent,
Ethelda MacNab,14WMR81410,RWS,,Year 2 Sem 2,Absent,
Bab Glenwright,08WMR64429,RWS,1.0,Year 2 Sem 1,Absent,
Vernon Schwerin,24WMR34579,RWS,5.0,Year 2 Sem 2,Absent,
Lindsey Sunley,47WMR85644,RWS,,Year 3 Sem 1,Absent,
Jerrome Brucker,09WMR14334,RWS,9.0,Year 3 Sem 3,Absent,
Pietro Ingarfield,44WMR07208,RWS,9.0,Year 3 Sem 1,Absent,
Fin Gerrens,92WMR46337,RWS,9.0,Year 2 Sem 1,Absent,
Lindsay Kuschel,48WMR14893,RWS,11.0,Year 1 Sem 3,Absent,
Merralee Lanktree,84WMR53202,RWS,10.0,Year 3 Sem 2,Absent,
Roz Janisson,80WMR34962,RWS,4.0,Year 1 Sem 1,Absent,
Aaron Cronk,52WMR11408,RWS,3.0,Year 3 Sem 3,Absent,
Berty Ollivierre,99WMR32063,RWS,10.0,Year 3 Sem 3,Absent,
Tammie Burkin,19WMR20355,RWS,3.0,Year 2 Sem 1,Absent,
Monique Dugget,60WMR31835,RWS,10.0,Year 1 Sem 3,Absent,
Molly Arr,13WMR25479,RWS,2.0,Year 1 Sem 1,Absent,
Gael Byrcher,06WMR77214,RWS,9.0,Year 1 Sem 1,Absent,
Isaiah Buttner,34WMR52690,RWS,2.0,Year 1 Sem 1,Absent,
Terrijo Geraldez,56WMR55589,RWS,7.0,Year 1 Sem 1,Absent,
Emyle Basey,86WMR09218,RWS,4.0,Year 3 Sem 1,Absent,
Sigvard Sherar,35WMR79319,RWS,7.0,Year 2 Sem 3,Absent,
Cedric Biswell,45WMR65112,RWS,10.0,Year 3 Sem 1,Absent,
Callean Milleton,03WMR09046,RWS,8.0,Year 2 Sem 2,Absent,
Jackson Lindell,58WMR66967,RWS,11.0,Year 2 Sem 2,Absent,
Nerty Beaven,51WMR35897,RWS,8.0,Year 2 Sem 3,Absent,
Ania Matuszynski,60WMR22411,RWS,5.0,Year 2 Sem 3,Absent,
Garik Sabine,78WMR15414,RWS,6.0,Year 1 Sem 2,Absent,
Emelen Gasking,86WMR66445,RWS,1.0,Year 3 Sem 1,Absent,
Maximo Lochrie,96WMR29723,RWS,5.0,Year 1 Sem 1,Absent,
Julio Mahoney,62WMR39995,RWS,5.0,Year 1 Sem 3,Absent,
Yoshiko Waylett,42WMR08933,RWS,11.0,Year 3 Sem 3,Absent,
Noelyn Wratten,52WMR58534,RWS,7.0,Year 3 Sem 3,Absent,
Alena Courtliff,85WMR94972,RWS,5.0,Year 2 Sem 1,Absent,
Winnah Panner,24WMR82694,RWS,7.0,Year 3 Sem 1,Absent,
Adham Dolligon,62WMR23281,RWS,,Year 2 Sem 1,Absent,
Isador Pratte,22WMR90055,RWS,9.0,Year 2 Sem 3,Absent,
Geoffrey Claris,11WMR33589,RWS,5.0,Year 1 Sem 3,Absent,
Zena Lambrechts,02WMR37671,RWS,10.0,Year 2 Sem 1,Absent,
Deeanne Dobing,15WMR66426,RWS,6.0,Year 2 Sem 2,Absent,
Gael Chalcroft,48WMR83900,RWS,6.0,Year 2 Sem 2,Absent,
Maxie Ottey,06WMR70054,RWS,5.0,Year 2 Sem 2,Absent,
Jimmy Macbane,56WMR87038,RWS,3.0,Year 1 Sem 1,Absent,
Dorella Corringham,14WMR49831,RWS,6.0,Year 2 Sem 1,Absent,
Booth Nann,58WMR71447,RWS,6.0,Year 1 Sem 3,Absent,
Natalie Hallen,16WMR57219,RWS,8.0,Year 3 Sem 3,Absent,
Lucien Kershow,46WMR97992,RWS,5.0,Year 1 Sem 2,Absent,
Byrle Schwandermann,99WMR67293,RWS,,Year 1 Sem 2,Absent,
Ellary Cecil,30WMR10182,RWS,2.0,Year 2 Sem 2,Absent,
Donny De Witt,40WMR93429,RWS,4.0,Year 2 Sem 3,Absent,
Pail Hollyer,84WMR00959,RWS,2.0,Year 2 Sem 1,Absent,
Renee Laux,40WMR29068,RWS,2.0,Year 1 Sem 1,Absent,
Engracia Druitt,98WMR83147,RWS,6.0,Year 2 Sem 3,Absent,
Keen Mingay,36WMR63996,RWS,10.0,Year 2 Sem 2,Absent,
Ryann Simmance,96WMR86347,RWS,7.0,Year 3 Sem 2,Absent,
Putnam McIlvaney,84WMR69285,RWS,4.0,Year 1 Sem 1,Absent,
Cathy Dorkin,16WMR35521,RWS,9.0,Year 1 Sem 2,Absent,
Mallorie Cadle,82WMR23269,RWS,8.0,Year 3 Sem 2,Absent,
Toby Josuweit,87WMR13617,RWS,8.0,Year 2 Sem 2,Absent,
Steffi Niland,43WMR76848,RWS,,Year 1 Sem 3,Absent,
Marlee Weddeburn,32WMR67316,RWS,3.0,Year 2 Sem 1,Absent,
Loella Bonanno,81WMR52503,RWS,6.0,Year 2 Sem 3,Absent,
Payton Arnout,00WMR16510,RWS,,Year 3 Sem 2,Absent,
Marjorie Pomfrey,44WMR89963,RWS,11.0,Year 2 Sem 3,Absent,
Francesca Vanderson,96WMR20974,RWS,5.0,Year 2 Sem 1,Absent,
Demetra Pumphrey,54WMR60695,RWS,11.0,Year 2 Sem 3,Absent,
Anya Corington,26WMR84413,RWS,5.0,Year 1 Sem 3,Absent,
Cammy McKean,32WMR63214,RWS,6.0,Year 2 Sem 2,Absent,
Mariejeanne Domenc,74WMR21670,RWS,7.0,Year 1 Sem 2,Absent,
Alix Asmus,55WMR33084,RWS,1.0,Year 1 Sem 2,Absent,
