No,Name,Student ID,Programme,Group,Year/Sem,Current Time,Status
455,Erda Gollard,42WMR01738,REI,9,Year 3 Sem 2,,Absent
457,Aundrea Ducarne,58WMR76955,REI,0,Year 3 Sem 1,,Absent
462,Gasparo Bowler,50WMR23111,REI,0,Year 2 Sem 1,,Absent
464,Lorant Mowday,14WMR22571,REI,3,Year 2 Sem 3,,Absent
465,Henrie Justice,12WMR88841,REI,0,Year 1 Sem 2,,Absent
475,Audi Meran,58WMR49762,REI,2,Year 3 Sem 2,,Absent
483,Kata MacBean,00WMR42475,REI,10,Year 2 Sem 3,,Absent
485,Puff Rapelli,61WMR71259,REI,4,Year 1 Sem 1,,Absent
501,Lorianne Aplin,02WMR29642,REI,6,Year 3 Sem 3,,Absent
512,Cornie Ingerfield,65WMR12837,REI,9,Year 2 Sem 3,,Absent
515,Alphard McGurn,16WMR75833,REI,7,Year 2 Sem 3,,Absent
517,Abbie Aspey,52WMR15972,REI,7,Year 3 Sem 3,,Absent
519,Lucia Storror,11WMR86908,REI,0,Year 3 Sem 1,,Absent
532,Hermann Sans,09WMR38560,REI,2,Year 2 Sem 3,,Absent
534,Kimbell Vasquez,24WMR23585,REI,5,Year 2 Sem 3,,Absent
535,Halley Weatherhead,95WMR21777,REI,0,Year 1 Sem 3,,Absent
541,Garreth Courtney,30WMR87657,REI,7,Year 2 Sem 3,,Absent
542,Dov Touhig,31WMR90874,REI,1,Year 3 Sem 2,,Absent
547,Olympe Sturm,55WMR07009,REI,9,Year 1 Sem 2,,Absent
550,Birdie Willard,79WMR28325,REI,3,Year 1 Sem 3,,Absent
553,Floria Huot,09WMR08541,REI,2,Year 3 Sem 3,,Absent
559,Ashil Stead,23WMR34188,REI,0,Year 2 Sem 3,,Absent
566,Forbes O'Curneen,80WMR11461,REI,1,Year 2 Sem 1,,Absent
569,Erwin Halifax,39WMR66276,REI,0,Year 3 Sem 1,,Absent
574,Carrie Freund,54WMR67182,REI,7,Year 2 Sem 2,,Absent
575,Petronella Leathard,69WMR79687,REI,11,Year 1 Sem 3,,Absent
577,Anstice Nolin,19WMR18762,REI,4,Year 1 Sem 2,,Absent
586,Kamillah Utting,63WMR04399,REI,2,Year 2 Sem 3,,Absent
592,Nathan Bennet,47WMR60340,REI,3,Year 2 Sem 2,,Absent
593,Vonni Bramley,90WMR32252,REI,8,Year 3 Sem 1,,Absent
595,Emerson Lowery,82WMR14385,REI,10,Year 3 Sem 2,,Absent
599,Roderic Ghent,32WMR59429,REI,3,Year 3 Sem 1,,Absent
601,Sapphire Baldacchi,09WMR85546,REI,0,Year 2 Sem 3,,Absent
605,Edan Moralas,69WMR05721,REI,5,Year 1 Sem 1,,Absent
606,Vale Darling,68WMR62632,REI,5,Year 2 Sem 1,,Absent
609,Baillie Peskin,13WMR76092,REI,1,Year 3 Sem 3,,Absent
611,Talbert Newson,73WMR09358,REI,8,Year 2 Sem 1,,Absent
618,Saba Kellogg,77WMR82311,REI,11,Year 1 Sem 1,,Absent
620,Blake Vauter,08WMR00839,REI,1,Year 1 Sem 2,,Absent
621,Benita Skeggs,01WMR41315,REI,5,Year 2 Sem 1,,Absent
630,Gillie Gateland,02WMR54605,REI,5,Year 2 Sem 3,,Absent
631,Dorene Macklin,42WMR80097,REI,4,Year 3 Sem 3,,Absent
637,Casey Tiffney,00WMR25637,REI,9,Year 2 Sem 1,,Absent
642,Tedmund Dall,72WMR14515,REI,11,Year 3 Sem 3,,Absent
645,Natalya Duquesnay,26WMR86315,REI,4,Year 2 Sem 1,,Absent
646,Buddy Fellows,07WMR21403,REI,6,Year 3 Sem 1,,Absent
647,Fayth Duckit,98WMR13368,REI,1,Year 3 Sem 2,,Absent
656,Engracia Stevens,71WMR85796,REI,1,Year 2 Sem 1,,Absent
659,Lorry Schiementz,01WMR84774,REI,6,Year 3 Sem 1,,Absent
660,Brendin Josephy,47WMR56400,REI,0,Year 2 Sem 3,,Absent
664,Gram Dafydd,35WMR54979,REI,10,Year 2 Sem 1,,Absent
668,Teriann Michallat,63WMR69846,REI,1,Year 2 Sem 1,,Absent
670,Byrom Basnett,41WMR76867,REI,5,Year 3 Sem 2,,Absent
674,Rainer Tugman,56WMR65280,REI,1,Year 1 Sem 3,,Absent
686,Tedie Needs,38WMR46900,REI,7,Year 3 Sem 3,,Absent
688,Nealy Coop,61WMR47133,REI,9,Year 3 Sem 3,,Absent
691,Chick Leadbetter,94WMR56907,REI,1,Year 3 Sem 2,,Absent
699,Kassey Marquot,96WMR45766,REI,11,Year 2 Sem 2,,Absent
700,Sidoney Janowski,40WMR99761,REI,4,Year 2 Sem 3,,Absent
701,Arly Coverdill,75WMR12143,REI,6,Year 3 Sem 1,,Absent
704,Alphard Tathacott,43WMR44223,REI,9,Year 1 Sem 1,,Absent
705,Fedora Keeri,73WMR58055,REI,11,Year 1 Sem 2,,Absent
716,Flo Stonehouse,71WMR84750,REI,6,Year 2 Sem 3,,Absent
719,Matias Jemmison,29WMR51664,REI,4,Year 3 Sem 1,,Absent
721,Thelma Ambrogini,23WMR51564,REI,6,Year 2 Sem 3,,Absent
722,Mari Brimfield,46WMR86443,REI,5,Year 2 Sem 2,,Absent
725,Shelia Averies,11WMR65652,REI,9,Year 2 Sem 3,,Absent
726,Gustavo Luxen,02WMR77800,REI,5,Year 2 Sem 1,,Absent
728,Mara Keeffe,83WMR34188,REI,2,Year 3 Sem 2,,Absent
735,Horace Yurasov,22WMR68646,REI,0,Year 3 Sem 1,,Absent
737,Amandy Roussel,52WMR75765,REI,5,Year 3 Sem 1,,Absent
738,Sharity Bugdell,68WMR69729,REI,3,Year 3 Sem 2,,Absent
739,Lottie Spinley,54WMR92153,REI,6,Year 2 Sem 3,,Absent
742,Clair Stodhart,14WMR89497,REI,11,Year 3 Sem 2,,Absent
743,Winthrop Jacklin,73WMR20104,REI,2,Year 3 Sem 2,,Absent
755,Lazare St. Quintin,24WMR26446,REI,2,Year 1 Sem 2,,Absent
760,Sully Winson,32WMR76159,REI,5,Year 1 Sem 2,,Absent
762,Carmella Mattack,71WMR12916,REI,9,Year 3 Sem 3,,Absent
764,Klarrisa Lieb,83WMR02563,REI,7,Year 2 Sem 1,,Absent
767,Viole Gellion,02WMR99056,REI,10,Year 1 Sem 1,,Absent
768,Chickie Hotton,23WMR55230,REI,5,Year 2 Sem 3,,Absent
773,Carmon Signe,87WMR63883,REI,9,Year 3 Sem 1,,Absent
775,Kareem Barrar,10WMR32698,REI,0,Year 1 Sem 1,,Absent
778,Sheena Mixer,14WMR82850,REI,3,Year 2 Sem 1,,Absent
784,Loy Doolan,33WMR81710,REI,10,Year 3 Sem 2,,Absent
785,Fanny Farrants,60WMR07929,REI,11,Year 2 Sem 1,,Absent
786,Evangelin Misk,45WMR14210,REI,0,Year 1 Sem 3,,Absent
793,Karim Vicker,25WMR13888,REI,5,Year 3 Sem 2,,Absent
794,Bradford Hambidge,13WMR37790,REI,1,Year 2 Sem 1,,Absent
799,Hyacinth Buttriss,20WMR06018,REI,0,Year 1 Sem 3,,Absent
801,Vincents Tompkinson,17WMR33230,REI,10,Year 1 Sem 3,,Absent
805,Byron Rainford,70WMR54542,REI,1,Year 1 Sem 2,,Absent
808,Mortie Hammill,86WMR73265,REI,2,Year 1 Sem 2,,Absent
812,Erda Hazael,69WMR74169,REI,7,Year 1 Sem 3,,Absent
816,Brunhilda Phippard,36WMR07567,REI,9,Year 3 Sem 1,,Absent
819,Dominic Thominga,16WMR76646,REI,8,Year 2 Sem 1,,Absent
820,Katrinka Gofford,96WMR16569,REI,5,Year 2 Sem 1,,Absent
825,Justine Mansion,02WMR55177,REI,3,Year 1 Sem 3,,Absent
829,Carlyn Robinet,66WMR47918,REI,7,Year 3 Sem 2,,Absent
832,Leshia Leaton,07WMR97152,REI,1,Year 3 Sem 2,,Absent
835,Alexandra Easdon,63WMR68883,REI,10,Year 1 Sem 1,,Absent
836,Nilson Cockcroft,22WMR35063,REI,1,Year 1 Sem 1,,Absent
838,Farley Dyott,42WMR25401,REI,10,Year 1 Sem 1,,Absent
842,Edd McLice,86WMR31886,REI,7,Year 2 Sem 1,,Absent
843,Gardner Hebblewaite,58WMR34517,REI,0,Year 2 Sem 2,,Absent
847,Marinna Savell,11WMR82150,REI,4,Year 1 Sem 2,,Absent
851,Geneva Archbould,00WMR47546,REI,5,Year 2 Sem 1,,Absent
857,Jennilee Seyffert,90WMR27078,REI,1,Year 1 Sem 3,,Absent
865,Henry Whitehouse,21WMR28728,REI,7,Year 3 Sem 2,,Absent
867,Elisha Gradwell,14WMR48255,REI,9,Year 3 Sem 1,,Absent
868,Vanna McKernan,34WMR01261,REI,4,Year 2 Sem 3,,Absent
875,Tracie Gritton,10WMR05756,REI,4,Year 2 Sem 3,,Absent
877,Ingar Goodier,11WMR81654,REI,6,Year 1 Sem 1,,Absent
878,Freemon Blinkhorn,21WMR16407,REI,6,Year 3 Sem 3,,Absent
884,Erda Vynehall,75WMR72050,REI,5,Year 2 Sem 3,,Absent
888,Carin Warlton,76WMR13274,REI,11,Year 2 Sem 3,,Absent
891,Chrissy Fewless,74WMR85781,REI,3,Year 3 Sem 2,,Absent
893,Frannie McLagan,81WMR42162,REI,0,Year 2 Sem 1,,Absent
899,Verina FitzAlan,97WMR88989,REI,11,Year 3 Sem 1,,Absent
902,Ulla Balogun,34WMR30098,REI,6,Year 1 Sem 2,,Absent
904,Kassie Luce,51WMR70184,REI,11,Year 1 Sem 2,,Absent
905,Pamella Wicher,62WMR03724,REI,4,Year 2 Sem 3,,Absent
908,Pavla Condell,51WMR67419,REI,4,Year 2 Sem 2,,Absent
910,Hannah Mapledoram,66WMR16210,REI,9,Year 2 Sem 2,,Absent
912,Wylma Rennick,06WMR70685,REI,11,Year 3 Sem 3,,Absent
913,Flori Le Fleming,25WMR38611,REI,6,Year 1 Sem 1,,Absent
918,Kendell Linny,68WMR53720,REI,0,Year 2 Sem 3,,Absent
928,Joya Kasparski,22WMR01074,REI,4,Year 3 Sem 3,,Absent
947,Virge Dickon,37WMR43793,REI,0,Year 2 Sem 2,,Absent
949,Yank Inseal,94WMR75199,REI,3,Year 1 Sem 3,,Absent
950,Felicity Lillecrap,87WMR15052,REI,10,Year 1 Sem 2,,Absent
955,Skipper Glasard,94WMR08967,REI,4,Year 2 Sem 3,,Absent
959,Conant Matteucci,87WMR19930,REI,9,Year 1 Sem 3,,Absent
960,Umberto Sparks,25WMR95305,REI,4,Year 2 Sem 1,,Absent
963,Martynne Gowdridge,78WMR81281,REI,3,Year 2 Sem 1,,Absent
971,Tamra Kort,02WMR53469,REI,7,Year 2 Sem 2,,Absent
976,Nathalia McLay,69WMR50021,REI,6,Year 3 Sem 1,,Absent
977,Alix Storry,77WMR05368,REI,6,Year 3 Sem 2,,Absent
985,Lizette Normabell,50WMR67966,REI,8,Year 2 Sem 3,,Absent
986,Calvin Causey,77WMR42411,REI,2,Year 1 Sem 2,,Absent
989,Sebastian Halleybone,81WMR15431,REI,8,Year 2 Sem 1,,Absent
991,Waneta Kelcey,70WMR72650,REI,2,Year 3 Sem 3,,Absent
995,Mycah Redparth,24WMR64780,REI,10,Year 2 Sem 1,,Absent
