Name,Student ID,Programme,Group,Year/Sem,Status,Current Time
Vernon Edgerley,69WMR97939,RSD,3.0,Year 3 Sem 1,Absent,
Jeno Broxis,55WMR32864,RSD,3.0,Year 3 Sem 1,Absent,
Virgie Marcone,69WMR63798,RSD,10.0,Year 3 Sem 1,Absent,
Mickey Cornelius,89WMR20043,RSD,,Year 1 Sem 3,Absent,
Julina Svanini,67WMR52358,RSD,10.0,Year 3 Sem 2,Absent,
Timothee Edgar,65WMR44385,RSD,8.0,Year 3 Sem 1,Absent,
Carmon Morfield,80WMR08188,RSD,3.0,Year 2 Sem 3,Absent,
Briggs Thornbarrow,61WMR68392,RSD,11.0,Year 3 Sem 2,Absent,
Tyler Bodell,19WMR89462,RSD,,Year 1 Sem 2,Absent,
Demetra West-Frimley,03WMR55298,RSD,5.0,Year 3 Sem 3,Absent,
Donnie Veillard,24WMR83771,RSD,11.0,Year 3 Sem 1,Absent,
Emelia Huson,93WMR15436,RSD,5.0,Year 2 Sem 3,Absent,
La verne Gonoude,07WMR15403,RSD,3.0,Year 2 Sem 2,Absent,
Heather Millions,06WMR28199,RSD,6.0,Year 1 Sem 3,Absent,
Jasun Goodliffe,48WMR21362,RSD,8.0,Year 2 Sem 1,Absent,
Grethel Ivanichev,11WMR19675,RSD,,Year 3 Sem 3,Absent,
Marji Frushard,43WMR39847,RSD,4.0,Year 2 Sem 2,Absent,
Jermayne Camacho,02WMR07154,RSD,6.0,Year 1 Sem 3,Absent,
Padget MacFarland,88WMR02079,RSD,11.0,Year 2 Sem 2,Absent,
Ailee Salvatore,99WMR93303,RSD,2.0,Year 1 Sem 2,Absent,
Brock Benfield,69WMR63251,RSD,5.0,Year 2 Sem 2,Absent,
Hesther Calvard,83WMR13059,RSD,4.0,Year 2 Sem 1,Absent,
Arabela Orable,64WMR60812,RSD,11.0,Year 1 Sem 2,Absent,
Bailie Bircher,99WMR72983,RSD,3.0,Year 3 Sem 1,Absent,
Barby Bessant,77WMR58289,RSD,5.0,Year 3 Sem 3,Absent,
Morey Dansey,38WMR75391,RSD,11.0,Year 3 Sem 2,Absent,
Phillip Sentinella,42WMR45514,RSD,7.0,Year 2 Sem 1,Absent,
Artie Cheatle,78WMR67070,RSD,3.0,Year 1 Sem 2,Absent,
Malinda Hartridge,95WMR97741,RSD,1.0,Year 1 Sem 3,Absent,
Ara Whitham,23WMR47958,RSD,10.0,Year 3 Sem 1,Absent,
Xaviera MacKill,85WMR01197,RSD,7.0,Year 2 Sem 2,Absent,
Ashlie Stellin,28WMR93186,RSD,7.0,Year 2 Sem 3,Absent,
Eugenie Gaucher,78WMR51405,RSD,2.0,Year 1 Sem 1,Absent,
Leanor O'Teague,37WMR92657,RSD,4.0,Year 3 Sem 3,Absent,
Alli Shortall,82WMR57891,RSD,2.0,Year 3 Sem 2,Absent,
Benedetto Rittelmeyer,69WMR62328,RSD,3.0,Year 3 Sem 1,Absent,
Allayne Denniston,30WMR36755,RSD,5.0,Year 2 Sem 1,Absent,
Ryann Reddoch,16WMR07808,RSD,3.0,Year 2 Sem 2,Absent,
Bent Jilliss,02WMR58990,RSD,,Year 2 Sem 2,Absent,
Barron Handslip,28WMR64016,RSD,2.0,Year 1 Sem 1,Absent,
Meridel Sibille,51WMR56525,RSD,1.0,Year 2 Sem 3,Absent,
Kikelia Clayson,58WMR44572,RSD,5.0,Year 3 Sem 2,Absent,
Bette-ann Giblin,72WMR59732,RSD,5.0,Year 2 Sem 2,Absent,
Darren Keets,72WMR91158,RSD,7.0,Year 3 Sem 3,Absent,
Lanny Viveash,77WMR10804,RSD,1.0,Year 1 Sem 1,Absent,
Tracey Wemes,34WMR74616,RSD,8.0,Year 1 Sem 2,Absent,
Tabb Rehn,28WMR14272,RSD,10.0,Year 2 Sem 3,Absent,
Molli Ambrosi,42WMR61946,RSD,10.0,Year 2 Sem 3,Absent,
Haven Fyndon,09WMR15878,RSD,10.0,Year 3 Sem 3,Absent,
Obie Gumly,02WMR55643,RSD,1.0,Year 1 Sem 1,Absent,
Ardyce Dobrowolny,99WMR42235,RSD,11.0,Year 3 Sem 1,Absent,
Chiquia Platts,56WMR31938,RSD,3.0,Year 2 Sem 2,Absent,
Aguste Guilloneau,31WMR73219,RSD,,Year 1 Sem 1,Absent,
Magda Martinets,09WMR77110,RSD,8.0,Year 1 Sem 1,Absent,
Tania Brandon,47WMR60550,RSD,9.0,Year 1 Sem 1,Absent,
Robinia Renshall,83WMR30255,RSD,1.0,Year 1 Sem 1,Absent,
Brewster Pinshon,21WMR97296,RSD,3.0,Year 2 Sem 2,Absent,
Abdel Klimentyev,53WMR86181,RSD,5.0,Year 2 Sem 2,Absent,
Ivory Eadington,77WMR55023,RSD,2.0,Year 3 Sem 2,Absent,
Ivan Olivari,93WMR83307,RSD,1.0,Year 1 Sem 2,Absent,
Dalton Gilbard,62WMR68352,RSD,9.0,Year 1 Sem 3,Absent,
Vivian Creser,16WMR89633,RSD,8.0,Year 2 Sem 3,Absent,
Monro Frow,83WMR48201,RSD,8.0,Year 1 Sem 3,Absent,
Lovell Arkin,16WMR09879,RSD,5.0,Year 1 Sem 3,Absent,
Ban Barthram,59WMR14436,RSD,10.0,Year 1 Sem 1,Absent,
Thorstein Renahan,61WMR71953,RSD,6.0,Year 2 Sem 1,Absent,
Smith Pill,13WMR93317,RSD,,Year 3 Sem 3,Absent,
Karl Durtnall,97WMR69476,RSD,2.0,Year 3 Sem 2,Absent,
Maryanna Smees,38WMR15937,RSD,7.0,Year 1 Sem 3,Absent,
Evangeline Story,37WMR80339,RSD,10.0,Year 2 Sem 2,Absent,
Jannel Dudleston,02WMR22169,RSD,10.0,Year 2 Sem 3,Absent,
Morton Ludvigsen,42WMR73953,RSD,,Year 3 Sem 1,Absent,
Euphemia Duthy,26WMR46167,RSD,8.0,Year 3 Sem 2,Absent,
Kelsi Gentiry,73WMR59107,RSD,6.0,Year 2 Sem 2,Absent,
Margeaux Wharin,54WMR22026,RSD,1.0,Year 1 Sem 3,Absent,
Shandeigh Lygo,16WMR83767,RSD,1.0,Year 2 Sem 2,Absent,
Kevin Pressdee,73WMR99422,RSD,,Year 3 Sem 2,Absent,
Hadria Detoile,51WMR82450,RSD,9.0,Year 1 Sem 2,Absent,
Ilysa Sargint,17WMR41946,RSD,5.0,Year 2 Sem 1,Absent,
Alasteir Cracoe,46WMR47473,RSD,1.0,Year 2 Sem 2,Absent,
Kelvin Becke,97WMR67688,RSD,10.0,Year 1 Sem 3,Absent,
Juditha Drinkhill,41WMR54470,RSD,8.0,Year 1 Sem 2,Absent,
Law Shawel,26WMR29625,RSD,,Year 1 Sem 3,Absent,
Guido Terzi,50WMR84471,RSD,10.0,Year 1 Sem 1,Absent,
Lynda Lecordier,38WMR46519,RSD,1.0,Year 1 Sem 3,Absent,
Mady Willcott,37WMR45216,RSD,3.0,Year 1 Sem 3,Absent,
Marco Bernli,06WMR71124,RSD,2.0,Year 2 Sem 1,Absent,
Errick Fawbert,02WMR51051,RSD,10.0,Year 3 Sem 3,Absent,
Brig McKague,05WMR64973,RSD,11.0,Year 1 Sem 3,Absent,
Annmarie Lapree,67WMR51475,RSD,4.0,Year 3 Sem 1,Absent,
Mason Frostdicke,24WMR71551,RSD,11.0,Year 1 Sem 3,Absent,
Gale Twomey,80WMR15626,RSD,10.0,Year 3 Sem 2,Absent,
Annaliese Heyball,23WMR02518,RSD,2.0,Year 1 Sem 2,Absent,
Hadlee McCreath,57WMR40150,RSD,3.0,Year 3 Sem 3,Absent,
Trisha Burgan,64WMR83019,RSD,,Year 2 Sem 2,Absent,
Marleen Borghese,28WMR01204,RSD,10.0,Year 2 Sem 2,Absent,
Jamison Rundall,44WMR59848,RSD,,Year 3 Sem 3,Absent,
Iolande Pett,37WMR31423,RSD,11.0,Year 2 Sem 1,Absent,
Alysia Loxley,32WMR60656,RSD,4.0,Year 2 Sem 3,Absent,
Lief Meriet,12WMR57650,RSD,10.0,Year 3 Sem 3,Absent,
Krista McNicol,72WMR62444,RSD,6.0,Year 2 Sem 1,Absent,
Ailina Gouge,40WMR96060,RSD,6.0,Year 2 Sem 2,Absent,
Avictor Grimble,50WMR35569,RSD,,Year 3 Sem 3,Absent,
Ivett Craise,50WMR31743,RSD,2.0,Year 2 Sem 3,Absent,
Charo Beneyto,34WMR05526,RSD,4.0,Year 1 Sem 2,Absent,
Courtney Greatham,88WMR58184,RSD,11.0,Year 2 Sem 1,Absent,
Cosme Eccersley,57WMR30732,RSD,2.0,Year 3 Sem 1,Absent,
Gertrude Innman,22WMR11525,RSD,3.0,Year 1 Sem 2,Absent,
Jordon Skeete,62WMR41744,RSD,10.0,Year 1 Sem 2,Absent,
Giorgia Casillas,02WMR05508,RSD,11.0,Year 3 Sem 1,Absent,
Glen Vasilischev,99WMR07828,RSD,4.0,Year 1 Sem 1,Absent,
Sena Felton,59WMR08998,RSD,5.0,Year 2 Sem 1,Absent,
Adolphe McMenamin,97WMR79395,RSD,1.0,Year 2 Sem 1,Absent,
Kristyn Pikett,24WMR41277,RSD,9.0,Year 3 Sem 3,Absent,
Maisie Verdon,47WMR57154,RSD,11.0,Year 1 Sem 3,Absent,
Eamon Senescall,11WMR54192,RSD,4.0,Year 2 Sem 2,Absent,
Margareta Schultheiss,56WMR68553,RSD,11.0,Year 1 Sem 2,Absent,
Gracie McColgan,25WMR98175,RSD,10.0,Year 3 Sem 1,Absent,
Tanhya Hexter,38WMR50629,RSD,7.0,Year 2 Sem 2,Absent,
Ludvig Adan,62WMR01928,RSD,7.0,Year 3 Sem 2,Absent,
Cate Guiraud,25WMR02524,RSD,9.0,Year 3 Sem 3,Absent,
Cathleen Ashworth,09WMR25079,RSD,3.0,Year 3 Sem 2,Absent,
Chandler Arthy,47WMR39274,RSD,2.0,Year 1 Sem 2,Absent,
Alisander Satch,25WMR02452,RSD,2.0,Year 3 Sem 2,Absent,
Mabel Ortell,09WMR70777,RSD,5.0,Year 3 Sem 2,Absent,
Hugibert Thorwarth,76WMR21277,RSD,1.0,Year 1 Sem 1,Absent,
Jaime Plane,16WMR63220,RSD,11.0,Year 2 Sem 2,Absent,
Madelaine Hinrich,24WMR97118,RSD,7.0,Year 2 Sem 1,Absent,
Myca de Wilde,99WMR69449,RSD,5.0,Year 3 Sem 2,Absent,
Juliette Harpham,03WMR28125,RSD,2.0,Year 1 Sem 2,Absent,
Keefe Greathead,81WMR10476,RSD,8.0,Year 3 Sem 3,Absent,
Neddy Melly,90WMR38728,RSD,10.0,Year 3 Sem 3,Absent,
Kelci Kneeshaw,49WMR80965,RSD,11.0,Year 2 Sem 2,Absent,
Bernelle Cargenven,50WMR33563,RSD,9.0,Year 1 Sem 2,Absent,
Romonda Calbaithe,26WMR76331,RSD,11.0,Year 2 Sem 1,Absent,
Delbert Royson,72WMR13256,RSD,8.0,Year 2 Sem 1,Absent,
Alvinia Haresnape,42WMR15867,RSD,2.0,Year 3 Sem 3,Absent,
Mercie Ducker,55WMR24587,RSD,7.0,Year 2 Sem 3,Absent,
Kizzee Harber,11WMR91891,RSD,11.0,Year 2 Sem 1,Absent,
Moria O'Dare,03WMR76490,RSD,5.0,Year 2 Sem 1,Absent,
Mireielle Tickel,89WMR47082,RSD,9.0,Year 3 Sem 2,Absent,
Koressa Leale,61WMR71223,RSD,11.0,Year 3 Sem 2,Absent,
Maurie Simants,13WMR13547,RSD,4.0,Year 2 Sem 2,Absent,
Clayborn Shellum,95WMR45203,RSD,4.0,Year 3 Sem 3,Absent,
James Iggalden,50WMR96397,RSD,9.0,Year 1 Sem 2,Absent,
Anita Fleckness,84WMR19783,RSD,11.0,Year 2 Sem 3,Absent,
Donelle Focke,21WMR80414,RSD,7.0,Year 2 Sem 3,Absent,
Sue Zanicchi,20WMR06405,RSD,9.0,Year 2 Sem 2,Absent,
Waylan Yurov,05WMR70481,RSD,8.0,Year 1 Sem 1,Absent,
Ivonne Orsman,25WMR80418,RSD,,Year 3 Sem 2,Absent,
Chandra Twining,67WMR61440,RSD,2.0,Year 3 Sem 2,Absent,
Merline Perrett,31WMR35814,RSD,7.0,Year 3 Sem 1,Absent,
Aprilette Rallinshaw,21WMR82918,RSD,11.0,Year 1 Sem 3,Absent,
Nerissa Paumier,27WMR12511,RSD,11.0,Year 2 Sem 2,Absent,
Anne Macon,84WMR47916,RSD,11.0,Year 1 Sem 3,Absent,
Halsey Cobon,06WMR97147,RSD,,Year 3 Sem 3,Absent,
Giraldo Meanwell,79WMR38271,RSD,9.0,Year 2 Sem 1,Absent,
Von Titchard,60WMR62119,RSD,4.0,Year 3 Sem 2,Absent,
Chelsey Alphonso,99WMR47091,RSD,5.0,Year 3 Sem 3,Absent,
Archibaldo Lamminam,52WMR99375,RSD,5.0,Year 1 Sem 3,Absent,
Daloris Chelam,26WMR08958,RSD,5.0,Year 2 Sem 3,Absent,
Yancey Szymonowicz,93WMR07373,RSD,9.0,Year 1 Sem 1,Absent,
Thelma Million,51WMR32522,RSD,11.0,Year 3 Sem 1,Absent,
Sada Carlton,10WMR37607,RSD,,Year 3 Sem 3,Absent,
Mariska Lidgertwood,89WMR83420,RSD,2.0,Year 1 Sem 3,Absent,
Libby Ballintime,44WMR60663,RSD,2.0,Year 3 Sem 3,Absent,
Cherilynn Antonoyev,68WMR49961,RSD,9.0,Year 1 Sem 2,Absent,
Rock Meiner,94WMR48270,RSD,5.0,Year 2 Sem 3,Absent,
Christiano Kinnaird,65WMR72553,RSD,11.0,Year 1 Sem 2,Absent,
Henrik Breeton,01WMR79339,RSD,2.0,Year 1 Sem 2,Absent,
Gage Beacom,82WMR14810,RSD,8.0,Year 2 Sem 3,Absent,
Noland Lopez,03WMR15158,RSD,9.0,Year 3 Sem 2,Absent,
Angelle Stichel,19WMR58160,RSD,2.0,Year 3 Sem 1,Absent,
Allin Puttrell,84WMR61927,RSD,2.0,Year 3 Sem 2,Absent,
Theresita Tofts,64WMR78882,RSD,6.0,Year 2 Sem 2,Absent,
Maureene Nestle,07WMR61665,RSD,7.0,Year 2 Sem 2,Absent,
Marietta Duchenne,80WMR69599,RSD,11.0,Year 2 Sem 3,Absent,
Jory Boick,86WMR83278,RSD,10.0,Year 3 Sem 3,Absent,
Stella Blazic,24WMR96394,RSD,1.0,Year 3 Sem 3,Absent,
Antonia Derges,63WMR49161,RSD,11.0,Year 2 Sem 1,Absent,
Margalo Channing,84WMR32510,RSD,1.0,Year 2 Sem 2,Absent,
Sophie Henke,65WMR97665,RSD,8.0,Year 2 Sem 3,Absent,
Dasie Plenderleith,74WMR55024,RSD,6.0,Year 2 Sem 2,Absent,
Harmonia Stenner,07WMR62733,RSD,11.0,Year 1 Sem 2,Absent,
Fleming St. Ledger,84WMR09220,RSD,3.0,Year 2 Sem 1,Absent,
Lorenza Davenell,93WMR67150,RSD,5.0,Year 2 Sem 3,Absent,
Raviv Athelstan,07WMR37396,RSD,11.0,Year 3 Sem 1,Absent,
Adel Messenbird,49WMR61827,RSD,10.0,Year 3 Sem 3,Absent,
Abraham Laydel,72WMR85854,RSD,9.0,Year 1 Sem 2,Absent,
Glynis Tonepohl,23WMR64775,RSD,2.0,Year 3 Sem 2,Absent,
Riannon Dytham,41WMR71097,RSD,7.0,Year 2 Sem 3,Absent,
Torr Moss,85WMR94485,RSD,,Year 3 Sem 2,Absent,
Ginelle Thunders,33WMR92579,RSD,2.0,Year 3 Sem 3,Absent,
