Name,Student ID,Programme,Group,Year/Sem,Current Time,Status
Bridget Beincken,99WMR45193,RDS,9,Year 2 Sem 2,,Absent
Rutledge Cavanaugh,77WMR09541,RDS,11,Year 2 Sem 1,,Absent
Kristal Lipman,37WMR84910,RDS,10,Year 1 Sem 2,,Absent
Samara Simonutti,57WMR93539,RDS,11,Year 2 Sem 3,,Absent
Howard Coller,04WMR09379,RDS,6,Year 2 Sem 2,,Absent
Sholom Pogson,04WMR56361,RDS,3,Year 2 Sem 1,,Absent
Constantina Cotterel,58WMR69669,RDS,0,Year 3 Sem 1,,Absent
Jonas Andreix,23WMR71102,RDS,4,Year 2 Sem 2,,Absent
Lexy Halwill,75WMR80064,RDS,11,Year 1 Sem 3,,Absent
Caressa Tallet,11WMR36007,RDS,3,Year 1 Sem 1,,Absent
Cassondra Rumble,82WMR83931,RDS,2,Year 2 Sem 3,,Absent
Gearard McGlaud,29WMR25958,RDS,6,Year 3 Sem 1,,Absent
Jill Edwardes,38WMR79286,RDS,9,Year 2 Sem 1,,Absent
Minni Chewter,40WMR67311,RDS,8,Year 2 Sem 3,,Absent
Ulrica Flament,12WMR60694,RDS,11,Year 2 Sem 3,,Absent
Ramsey Redier,36WMR21469,RDS,9,Year 1 Sem 3,,Absent
Romola Dargue,18WMR47560,RDS,9,Year 3 Sem 3,,Absent
Spike Makinson,11WMR98473,RDS,2,Year 1 Sem 3,,Absent
Laurice Shale,46WMR44419,RDS,4,Year 3 Sem 2,,Absent
Viva Collis,97WMR20705,RDS,9,Year 2 Sem 1,,Absent
Ethan Howlett,73WMR47563,RDS,4,Year 2 Sem 2,,Absent
Corette Westmacott,15WMR49662,RDS,6,Year 3 Sem 1,,Absent
Talyah Hardingham,39WMR74402,RDS,9,Year 1 Sem 1,,Absent
Fields Heighway,63WMR00301,RDS,10,Year 1 Sem 2,,Absent
Fanchette Blackburne,14WMR31808,RDS,1,Year 3 Sem 2,,Absent
Dallas Blazdell,06WMR00091,RDS,7,Year 3 Sem 2,,Absent
Clement Krzyzowski,20WMR67331,RDS,2,Year 1 Sem 1,,Absent
Deanna Crittal,70WMR96561,RDS,3,Year 2 Sem 3,,Absent
Richie Housaman,08WMR12492,RDS,4,Year 3 Sem 1,,Absent
Zarla Basil,66WMR27134,RDS,6,Year 3 Sem 1,,Absent
Chadwick Gavozzi,24WMR75935,RDS,11,Year 3 Sem 1,,Absent
Adi Ellams,73WMR40371,RDS,0,Year 3 Sem 2,,Absent
Marcelia Nyles,10WMR86554,RDS,10,Year 2 Sem 1,,Absent
Edlin Abdon,67WMR98446,RDS,3,Year 1 Sem 1,,Absent
Patrizio Redfield,64WMR40178,RDS,5,Year 3 Sem 3,,Absent
Braden Trunchion,57WMR24567,RDS,5,Year 1 Sem 1,,Absent
Audrey Rogerot,96WMR72233,RDS,7,Year 3 Sem 2,,Absent
Opaline Attwood,79WMR60151,RDS,9,Year 3 Sem 3,,Absent
Salvatore Sexty,87WMR28219,RDS,7,Year 2 Sem 2,,Absent
Karney Beckwith,60WMR05977,RDS,8,Year 3 Sem 3,,Absent
Gennifer Ruthven,10WMR64845,RDS,1,Year 2 Sem 1,,Absent
Charisse Verdey,49WMR04057,RDS,9,Year 1 Sem 1,,Absent
Orlando Cloney,98WMR28924,RDS,10,Year 1 Sem 3,,Absent
Sophi BURWIN,87WMR17408,RDS,2,Year 2 Sem 1,,Absent
Eileen McKinley,16WMR56864,RDS,4,Year 1 Sem 3,,Absent
Domeniga McCarrison,85WMR20494,RDS,10,Year 2 Sem 2,,Absent
Georas Arnatt,23WMR95551,RDS,4,Year 3 Sem 1,,Absent
Stepha Chiles,70WMR32593,RDS,7,Year 3 Sem 3,,Absent
Berton Dolphin,47WMR22852,RDS,8,Year 1 Sem 2,,Absent
Jasmina Webburn,46WMR07778,RDS,4,Year 1 Sem 2,,Absent
Cathy Beat,02WMR17802,RDS,0,Year 1 Sem 1,,Absent
Romola Kivell,10WMR14840,RDS,0,Year 3 Sem 1,,Absent
Coraline Bonny,01WMR75266,RDS,9,Year 1 Sem 2,,Absent
Tommie Boarder,97WMR66192,RDS,2,Year 3 Sem 3,,Absent
Jaquenette Guerin,03WMR27755,RDS,6,Year 1 Sem 2,,Absent
Ranee Varker,73WMR24949,RDS,6,Year 1 Sem 3,,Absent
Bartel Baum,04WMR06980,RDS,0,Year 3 Sem 2,,Absent
Elias Whitcomb,38WMR11065,RDS,2,Year 1 Sem 1,,Absent
Bryn Gomme,20WMR66337,RDS,8,Year 3 Sem 2,,Absent
Thorvald Lefley,44WMR61530,RDS,5,Year 1 Sem 2,,Absent
Gilbert Liddicoat,68WMR38643,RDS,9,Year 2 Sem 2,,Absent
Tressa Dubois,73WMR26746,RDS,3,Year 1 Sem 3,,Absent
Rubin Midgely,94WMR53314,RDS,0,Year 1 Sem 3,,Absent
Arni Stockwell,52WMR15842,RDS,1,Year 2 Sem 1,,Absent
Latrena Sobieski,76WMR15521,RDS,3,Year 2 Sem 3,,Absent
Mitch Trevan,65WMR83883,RDS,10,Year 2 Sem 3,,Absent
Jorgan Oslar,25WMR37567,RDS,1,Year 3 Sem 1,,Absent
Nataline Knagges,25WMR03015,RDS,6,Year 3 Sem 1,,Absent
Liane Kidston,23WMR34662,RDS,0,Year 2 Sem 2,,Absent
Becki Lockhart,27WMR54521,RDS,11,Year 1 Sem 1,,Absent
Alvin Jinda,31WMR86211,RDS,11,Year 3 Sem 1,,Absent
Kristos Reside,03WMR03272,RDS,9,Year 2 Sem 1,,Absent
Edlin Siderfin,49WMR62926,RDS,11,Year 3 Sem 3,,Absent
Lorrin Formby,38WMR65078,RDS,9,Year 2 Sem 1,,Absent
Ahmed Presnall,25WMR28039,RDS,0,Year 3 Sem 1,,Absent
Elbertina Ellwood,64WMR59748,RDS,10,Year 1 Sem 3,,Absent
Farris Cleyne,70WMR69191,RDS,8,Year 1 Sem 2,,Absent
Dredi McCrea,97WMR02184,RDS,1,Year 3 Sem 3,,Absent
Otes Copperwaite,18WMR90408,RDS,2,Year 3 Sem 2,,Absent
Tatiania Kocher,85WMR39753,RDS,4,Year 3 Sem 1,,Absent
Hube Hay,36WMR23343,RDS,11,Year 2 Sem 3,,Absentq
Maggee Di Lucia,04WMR15835,RDS,10,Year 1 Sem 2,,Absent
Pammy Siggs,67WMR10690,RDS,8,Year 2 Sem 3,,Absent
Gray Salerg,29WMR09292,RDS,6,Year 3 Sem 2,,Absent
Myrilla Asp,16WMR09280,RDS,7,Year 1 Sem 3,,Absent
Judah Michelmore,01WMR44583,RDS,0,Year 1 Sem 3,,Absent
Dorella Kennford,02WMR34643,RDS,8,Year 2 Sem 1,,Absent
Balduin Plumridge,72WMR76762,RDS,7,Year 1 Sem 1,,Absent
Thadeus Lewknor,94WMR29485,RDS,5,Year 2 Sem 2,,Absent
Lorry Colbron,05WMR81670,RDS,7,Year 2 Sem 3,,Absent
Zebulen Brando,63WMR26216,RDS,3,Year 3 Sem 2,,Absent
Minette O'Luby,49WMR90473,RDS,0,Year 1 Sem 2,,Absent
Gregorius McCarlie,50WMR84459,RDS,10,Year 2 Sem 1,,Absent
Joaquin Warlow,63WMR53209,RDS,6,Year 2 Sem 2,,Absent
Nomi Duckering,39WMR49740,RDS,3,Year 2 Sem 1,,Absent
Amalee Rengger,26WMR97078,RDS,10,Year 3 Sem 2,,Absent
Rois Northern,80WMR37974,RDS,3,Year 1 Sem 3,,Absent
Erie Veighey,99WMR49434,RDS,6,Year 3 Sem 1,,Absent
Dena Brophy,68WMR92234,RDS,9,Year 2 Sem 3,,Absent
Antony Baillie,54WMR07119,RDS,11,Year 3 Sem 2,,Absent
Stevie Daudray,24WMR07940,RDS,0,Year 1 Sem 3,,Absent
Randee Behnecken,75WMR70340,RDS,1,Year 1 Sem 1,,Absent
Giusto Welton,94WMR71790,RDS,0,Year 1 Sem 2,,Absent
Joye Redmond,53WMR22960,RDS,11,Year 1 Sem 1,,Absent
Kissiah Reddlesden,22WMR51629,RDS,3,Year 1 Sem 1,,Absent
Bran Sor,40WMR45684,RDS,10,Year 2 Sem 2,,Absent
Brandy Bindon,84WMR81241,RDS,2,Year 1 Sem 1,,Absent
Kiersten Rawlinson,06WMR54521,RDS,0,Year 2 Sem 2,,Absent
Anson Dowyer,88WMR47608,RDS,3,Year 3 Sem 2,,Absent
Dolly Pasby,91WMR32516,RDS,2,Year 2 Sem 3,,Absent
Sissie Towers,94WMR28605,RDS,7,Year 3 Sem 3,,Absent
Cordy Antyshev,13WMR06458,RDS,10,Year 2 Sem 2,,Absent
Cally Shannon,08WMR77929,RDS,5,Year 3 Sem 3,,Absent
Latia Duckering,74WMR43386,RDS,8,Year 3 Sem 1,,Absent
Pooh Merrikin,81WMR34225,RDS,6,Year 1 Sem 1,,Absent
Daffi Mincher,04WMR97720,RDS,4,Year 1 Sem 3,,Absent
Axe Behneke,59WMR72394,RDS,6,Year 2 Sem 1,,Absent
Ulrica Keatch,78WMR32716,RDS,6,Year 1 Sem 3,,Absent
Carmita Livingstone,61WMR16251,RDS,4,Year 1 Sem 1,,Absent
Brad Slee,00WMR94352,RDS,3,Year 3 Sem 1,,Absent
Kristo Villiers,34WMR16181,RDS,0,Year 2 Sem 2,,Absent
Prent Slatcher,03WMR17533,RDS,6,Year 2 Sem 2,,Absent
Benedicto Beauly,77WMR00106,RDS,9,Year 2 Sem 1,,Absent
Charmane Demangeon,53WMR18271,RDS,8,Year 1 Sem 3,,Absent
Alvira Nance,66WMR42195,RDS,7,Year 1 Sem 3,,Absent
Bartolemo Emmot,32WMR29694,RDS,11,Year 1 Sem 2,,Absent
Lynnea Conboy,43WMR70812,RDS,2,Year 2 Sem 1,,Absent
Melissa Hawkslee,39WMR80816,RDS,4,Year 2 Sem 2,,Absent
Lindsy Shorto,83WMR23757,RDS,10,Year 2 Sem 3,,Absent
Will Zannotti,06WMR75890,RDS,6,Year 3 Sem 3,,Absent
Carolus Tennison,98WMR26209,RDS,4,Year 2 Sem 2,,Absent
Hamlen Lief,30WMR29939,RDS,2,Year 1 Sem 2,,Absent
Ara Crumbie,50WMR32552,RDS,5,Year 2 Sem 3,,Absent
Gerri Conford,42WMR36553,RDS,1,Year 3 Sem 2,,Absent
Dacy Lowth,98WMR01246,RDS,1,Year 2 Sem 1,,Absent
Gretchen Emmer,78WMR32175,RDS,3,Year 2 Sem 2,,Absent
Pattin Bragg,67WMR83479,RDS,6,Year 2 Sem 1,,Absent
Molly O' Brian,97WMR06527,RDS,5,Year 1 Sem 2,,Absent
Enrika Wipfler,47WMR53041,RDS,4,Year 2 Sem 2,,Absent
Merrill Argue,67WMR44660,RDS,6,Year 3 Sem 3,,Absent
Tiphany Carnall,24WMR17519,RDS,10,Year 3 Sem 1,,Absent
Paulette Vasilechko,27WMR25529,RDS,9,Year 1 Sem 2,,Absent
Farlie Dodworth,82WMR88081,RDS,0,Year 1 Sem 2,,Absent
Maurice Costy,32WMR02338,RDS,4,Year 3 Sem 1,,Absent
Rusty Asel,03WMR74991,RDS,7,Year 3 Sem 3,,Absent
Ilka Malan,08WMR70644,RDS,8,Year 3 Sem 2,,Absent
Harli Doale,72WMR98994,RDS,4,Year 2 Sem 1,,Absent
Breanne Greenaway,93WMR13419,RDS,6,Year 2 Sem 3,,Absent
Thekla Hebble,15WMR98582,RDS,6,Year 2 Sem 2,,Absent
Padraig Laybourn,12WMR16451,RDS,10,Year 1 Sem 1,,Absent
Amory Tatlowe,01WMR23014,RDS,11,Year 3 Sem 3,,Absent
Giffie Lighterness,78WMR14505,RDS,4,Year 3 Sem 2,,Absent
Patsy Linwood,65WMR25615,RDS,2,Year 1 Sem 1,,Absent
Petra Pirazzi,47WMR11095,RDS,2,Year 3 Sem 3,,Absent
Clywd Kirkman,02WMR18966,RDS,9,Year 3 Sem 1,,Absent
Sara Sketchley,60WMR41435,RDS,10,Year 3 Sem 2,,Absent
Celia Hanse,81WMR33558,RDS,1,Year 3 Sem 2,,Absent
Aimee Reedshaw,89WMR94331,RDS,6,Year 2 Sem 1,,Absent
Filmore Radbone,80WMR52227,RDS,7,Year 2 Sem 2,,Absent
Gertruda Lumly,97WMR92386,RDS,8,Year 1 Sem 1,,Absent
Tressa Asser,65WMR44139,RDS,11,Year 2 Sem 2,,Absent
Maddie O'Cooney,00WMR89586,RDS,4,Year 1 Sem 2,,Absent
Dasha Cordoba,72WMR52925,RDS,10,Year 1 Sem 2,,Absent
Eugine Gittoes,63WMR86855,RDS,6,Year 3 Sem 3,,Absent
Morgan Tomik,99WMR46490,RDS,0,Year 2 Sem 1,,Absent
Sallie Riggert,66WMR19533,RDS,2,Year 1 Sem 3,,Absent
Lorenzo Hurdiss,12WMR80471,RDS,8,Year 1 Sem 3,,Absent
Brinn Fiddyment,07WMR05213,RDS,5,Year 3 Sem 2,,Absent
Travers McCaughran,27WMR32577,RDS,7,Year 3 Sem 3,,Absent
Shaina Beviss,57WMR79186,RDS,9,Year 2 Sem 3,,Absent
Niki Donneely,15WMR97048,RDS,7,Year 1 Sem 3,,Absent
Avril Adamczewski,99WMR22968,RDS,0,Year 3 Sem 3,,Absent
Phillip Szymaniak,53WMR80201,RDS,0,Year 3 Sem 1,,Absent
Granthem Eastridge,62WMR37012,RDS,8,Year 3 Sem 2,,Absent
Karola Dolman,37WMR21534,RDS,10,Year 3 Sem 3,,Absent
Chen Kach,88WMR14109,RDS,3,Year 2 Sem 1,,Absent
Myra Beaven,97WMR77431,RDS,1,Year 3 Sem 1,,Absent
Haley Purrier,18WMR14750,RDS,6,Year 2 Sem 2,,Absent
Crichton Munford,95WMR58822,RDS,4,Year 3 Sem 3,,Absent
Web Gabbotts,55WMR74626,RDS,3,Year 3 Sem 3,,Absent
Rich Sheer,67WMR83680,RDS,6,Year 1 Sem 3,,Absent
Nina Tschierse,58WMR07720,RDS,2,Year 2 Sem 2,,Absent
Bernadina Viant,38WMR53023,RDS,4,Year 3 Sem 3,,Absent
Robbin Twizell,04WMR35385,RDS,0,Year 3 Sem 2,,Absent
Nanete Spinetti,39WMR84901,RDS,9,Year 3 Sem 1,,Absent
Mickie Potte,50WMR40306,RDS,6,Year 1 Sem 1,,Absent
Aloysia Beddingham,90WMR62787,RDS,0,Year 2 Sem 3,,Absent
Cherish Krysztofowicz,13WMR44730,RDS,10,Year 1 Sem 3,,Absent
Fidela Domanski,36WMR00891,RDS,8,Year 3 Sem 2,,Absent
Doy Gon,29WMR59359,RDS,4,Year 1 Sem 2,,Absent
Bent Paragreen,00WMR70479,RDS,6,Year 2 Sem 2,,Absent
Willetta Priestley,56WMR98530,RDS,0,Year 2 Sem 1,,Absent
Say Le Blond,96WMR37363,RDS,11,Year 2 Sem 1,,Absent
Sara Spatari,42WMR85370,RDS,0,Year 2 Sem 3,,Absent
Marrilee Tolerton,14WMR11887,RDS,2,Year 3 Sem 2,,Absent
Paxon Leonard,71WMR45488,RDS,8,Year 2 Sem 1,,Absent
Thornie Delort,40WMR46286,RDS,2,Year 1 Sem 1,,Absent
Gwen Canty,66WMR06319,RDS,5,Year 1 Sem 3,,Absent
Phillie Laffranconi,49WMR77151,RDS,9,Year 1 Sem 3,,Absent
Patric Medcalfe,81WMR81702,RDS,3,Year 3 Sem 1,,Absent
Enid Bearfoot,74WMR82039,RDS,11,Year 1 Sem 1,,Absent
Marty Baudinelli,78WMR61959,RDS,3,Year 1 Sem 2,,Absent
Camellia Zincke,37WMR19829,RDS,2,Year 3 Sem 2,,Absent
Stillmann Parade,14WMR21330,RDS,9,Year 1 Sem 3,,Absent
Sherry Evers,96WMR90666,RDS,6,Year 2 Sem 3,,Absent
Alberik Baldini,66WMR41508,RDS,11,Year 1 Sem 1,,Absent
Claudius Reolfi,97WMR99744,RDS,4,Year 2 Sem 2,,Absent
Conrado Arnholz,15WMR62504,RDS,7,Year 1 Sem 2,,Absent
Rosa Beckey,78WMR60745,RDS,3,Year 3 Sem 1,,Absent
Arlyn Demeter,55WMR76062,RDS,6,Year 1 Sem 1,,Absent
Gustav Lalor,52WMR68167,RDS,8,Year 3 Sem 2,,Absent
Peyton Cloonan,39WMR13684,RDS,11,Year 3 Sem 2,,Absent
Gilbertine Langfat,44WMR88105,RDS,1,Year 2 Sem 1,,Absent
Jacquetta Abreheart,25WMR45600,RDS,5,Year 2 Sem 2,,Absent
Flemming Doyle,24WMR31055,RDS,10,Year 2 Sem 3,,Absent
Ainsley Seeger,73WMR21914,RDS,2,Year 1 Sem 1,,Absent
Katherina Limer,35WMR21963,RDS,1,Year 2 Sem 1,,Absent
Tanny Griniov,16WMR59496,RDS,11,Year 3 Sem 3,,Absent
Marwin Frear,21WMR12639,RDS,11,Year 3 Sem 1,,Absent
Doro Toping,99WMR74030,RDS,9,Year 1 Sem 1,,Absent
Inessa Francesco,64WMR60479,RDS,6,Year 2 Sem 3,,Absent
Neale Dyerson,10WMR25166,RDS,2,Year 2 Sem 3,,Absent
Wong Yew Zun,22WMR05366,RDS,3,Year 3 Sem 2,2023-11-11 12:20:39,Present
