No,Name,Student ID,Programme,Group,Year/Sem,Current Time,Status
238,Laurice Shale,46WMR44419,RDS,4,Year 3 Sem 2,,Absent
243,Viva Collis,97WMR20705,RDS,9,Year 2 Sem 1,,Absent
249,Ethan Howlett,73WMR47563,RDS,4,Year 2 Sem 2,,Absent
255,Corette Westmacott,15WMR49662,RDS,6,Year 3 Sem 1,,Absent
258,Talyah Hardingham,39WMR74402,RDS,9,Year 1 Sem 1,,Absent
259,Fields Heighway,63WMR00301,RDS,10,Year 1 Sem 2,,Absent
261,Fanchette Blackburne,14WMR31808,RDS,1,Year 3 Sem 2,,Absent
263,Dallas Blazdell,06WMR00091,RDS,7,Year 3 Sem 2,,Absent
272,Clement Krzyzowski,20WMR67331,RDS,2,Year 1 Sem 1,,Absent
273,Deanna Crittal,70WMR96561,RDS,3,Year 2 Sem 3,,Absent
277,Richie Housaman,08WMR12492,RDS,4,Year 3 Sem 1,,Absent
278,Zarla Basil,66WMR27134,RDS,6,Year 3 Sem 1,,Absent
279,Chadwick Gavozzi,24WMR75935,RDS,11,Year 3 Sem 1,,Absent
281,Adi Ellams,73WMR40371,RDS,0,Year 3 Sem 2,,Absent
282,Marcelia Nyles,10WMR86554,RDS,10,Year 2 Sem 1,,Absent
288,Edlin Abdon,67WMR98446,RDS,3,Year 1 Sem 1,,Absent
296,Patrizio Redfield,64WMR40178,RDS,5,Year 3 Sem 3,,Absent
298,Braden Trunchion,57WMR24567,RDS,5,Year 1 Sem 1,,Absent
299,Audrey Rogerot,96WMR72233,RDS,7,Year 3 Sem 2,,Absent
302,Opaline Attwood,79WMR60151,RDS,9,Year 3 Sem 3,,Absent
308,Salvatore Sexty,87WMR28219,RDS,7,Year 2 Sem 2,,Absent
313,Karney Beckwith,60WMR05977,RDS,8,Year 3 Sem 3,,Absent
317,Gennifer Ruthven,10WMR64845,RDS,1,Year 2 Sem 1,,Absent
321,Charisse Verdey,49WMR04057,RDS,9,Year 1 Sem 1,,Absent
322,Orlando Cloney,98WMR28924,RDS,10,Year 1 Sem 3,,Absent
330,Sophi BURWIN,87WMR17408,RDS,2,Year 2 Sem 1,,Absent
331,Eileen McKinley,16WMR56864,RDS,4,Year 1 Sem 3,,Absent
332,Domeniga McCarrison,85WMR20494,RDS,10,Year 2 Sem 2,,Absent
333,Georas Arnatt,23WMR95551,RDS,4,Year 3 Sem 1,,Absent
334,Stepha Chiles,70WMR32593,RDS,7,Year 3 Sem 3,,Absent
338,Berton Dolphin,47WMR22852,RDS,8,Year 1 Sem 2,,Absent
339,Jasmina Webburn,46WMR07778,RDS,4,Year 1 Sem 2,,Absent
340,Cathy Beat,02WMR17802,RDS,0,Year 1 Sem 1,,Absent
343,Romola Kivell,10WMR14840,RDS,0,Year 3 Sem 1,,Absent
344,Coraline Bonny,01WMR75266,RDS,9,Year 1 Sem 2,,Absent
345,Tommie Boarder,97WMR66192,RDS,2,Year 3 Sem 3,,Absent
347,Jaquenette Guerin,03WMR27755,RDS,6,Year 1 Sem 2,,Absent
349,Ranee Varker,73WMR24949,RDS,6,Year 1 Sem 3,,Absent
350,Bartel Baum,04WMR06980,RDS,0,Year 3 Sem 2,,Absent
351,Elias Whitcomb,38WMR11065,RDS,2,Year 1 Sem 1,,Absent
359,Bryn Gomme,20WMR66337,RDS,8,Year 3 Sem 2,,Absent
363,Thorvald Lefley,44WMR61530,RDS,5,Year 1 Sem 2,,Absent
366,Gilbert Liddicoat,68WMR38643,RDS,9,Year 2 Sem 2,,Absent
368,Tressa Dubois,73WMR26746,RDS,3,Year 1 Sem 3,,Absent
369,Rubin Midgely,94WMR53314,RDS,0,Year 1 Sem 3,,Absent
372,Arni Stockwell,52WMR15842,RDS,1,Year 2 Sem 1,,Absent
383,Latrena Sobieski,76WMR15521,RDS,3,Year 2 Sem 3,,Absent
387,Mitch Trevan,65WMR83883,RDS,10,Year 2 Sem 3,,Absent
388,Jorgan Oslar,25WMR37567,RDS,1,Year 3 Sem 1,,Absent
390,Nataline Knagges,25WMR03015,RDS,6,Year 3 Sem 1,,Absent
391,Liane Kidston,23WMR34662,RDS,0,Year 2 Sem 2,,Absent
395,Becki Lockhart,27WMR54521,RDS,11,Year 1 Sem 1,,Absent
401,Alvin Jinda,31WMR86211,RDS,11,Year 3 Sem 1,,Absent
406,Kristos Reside,03WMR03272,RDS,9,Year 2 Sem 1,,Absent
414,Edlin Siderfin,49WMR62926,RDS,11,Year 3 Sem 3,,Absent
417,Lorrin Formby,38WMR65078,RDS,9,Year 2 Sem 1,,Absent
419,Ahmed Presnall,25WMR28039,RDS,0,Year 3 Sem 1,,Absent
432,Elbertina Ellwood,64WMR59748,RDS,10,Year 1 Sem 3,,Absent
435,Farris Cleyne,70WMR69191,RDS,8,Year 1 Sem 2,,Absent
436,Dredi McCrea,97WMR02184,RDS,1,Year 3 Sem 3,,Absent
437,Otes Copperwaite,18WMR90408,RDS,2,Year 3 Sem 2,,Absent
438,Tatiania Kocher,85WMR39753,RDS,4,Year 3 Sem 1,,Absent
440,Hube Hay,36WMR23343,RDS,11,Year 2 Sem 3,,Absent
446,Maggee Di Lucia,04WMR15835,RDS,10,Year 1 Sem 2,,Absent
447,Pammy Siggs,67WMR10690,RDS,8,Year 2 Sem 3,,Absent
449,Gray Salerg,29WMR09292,RDS,6,Year 3 Sem 2,,Absent
451,Myrilla Asp,16WMR09280,RDS,7,Year 1 Sem 3,,Absent
453,Judah Michelmore,01WMR44583,RDS,0,Year 1 Sem 3,,Absent
454,Dorella Kennford,02WMR34643,RDS,8,Year 2 Sem 1,,Absent
456,Balduin Plumridge,72WMR76762,RDS,7,Year 1 Sem 1,,Absent
466,Thadeus Lewknor,94WMR29485,RDS,5,Year 2 Sem 2,,Absent
467,Lorry Colbron,05WMR81670,RDS,7,Year 2 Sem 3,,Absent
470,Zebulen Brando,63WMR26216,RDS,3,Year 3 Sem 2,,Absent
476,Minette O'Luby,49WMR90473,RDS,0,Year 1 Sem 2,,Absent
479,Gregorius McCarlie,50WMR84459,RDS,10,Year 2 Sem 1,,Absent
480,Joaquin Warlow,63WMR53209,RDS,6,Year 2 Sem 2,,Absent
481,Nomi Duckering,39WMR49740,RDS,3,Year 2 Sem 1,,Absent
484,Amalee Rengger,26WMR97078,RDS,10,Year 3 Sem 2,,Absent
488,Rois Northern,80WMR37974,RDS,3,Year 1 Sem 3,,Absent
489,Erie Veighey,99WMR49434,RDS,6,Year 3 Sem 1,,Absent
490,Dena Brophy,68WMR92234,RDS,9,Year 2 Sem 3,,Absent
493,Antony Baillie,54WMR07119,RDS,11,Year 3 Sem 2,,Absent
499,Stevie Daudray,24WMR07940,RDS,0,Year 1 Sem 3,,Absent
506,Randee Behnecken,75WMR70340,RDS,1,Year 1 Sem 1,,Absent
508,Giusto Welton,94WMR71790,RDS,0,Year 1 Sem 2,,Absent
509,Joye Redmond,53WMR22960,RDS,11,Year 1 Sem 1,,Absent
511,Kissiah Reddlesden,22WMR51629,RDS,3,Year 1 Sem 1,,Absent
516,Bran Sor,40WMR45684,RDS,10,Year 2 Sem 2,,Absent
520,Brandy Bindon,84WMR81241,RDS,2,Year 1 Sem 1,,Absent
521,Kiersten Rawlinson,06WMR54521,RDS,0,Year 2 Sem 2,,Absent
522,Anson Dowyer,88WMR47608,RDS,3,Year 3 Sem 2,,Absent
530,Dolly Pasby,91WMR32516,RDS,2,Year 2 Sem 3,,Absent
533,Sissie Towers,94WMR28605,RDS,7,Year 3 Sem 3,,Absent
543,Cordy Antyshev,13WMR06458,RDS,10,Year 2 Sem 2,,Absent
544,Cally Shannon,08WMR77929,RDS,5,Year 3 Sem 3,,Absent
552,Latia Duckering,74WMR43386,RDS,8,Year 3 Sem 1,,Absent
554,Pooh Merrikin,81WMR34225,RDS,6,Year 1 Sem 1,,Absent
561,Daffi Mincher,04WMR97720,RDS,4,Year 1 Sem 3,,Absent
563,Axe Behneke,59WMR72394,RDS,6,Year 2 Sem 1,,Absent
564,Ulrica Keatch,78WMR32716,RDS,6,Year 1 Sem 3,,Absent
565,Carmita Livingstone,61WMR16251,RDS,4,Year 1 Sem 1,,Absent
568,Brad Slee,00WMR94352,RDS,3,Year 3 Sem 1,,Absent
570,Kristo Villiers,34WMR16181,RDS,0,Year 2 Sem 2,,Absent
585,Prent Slatcher,03WMR17533,RDS,6,Year 2 Sem 2,,Absent
588,Benedicto Beauly,77WMR00106,RDS,9,Year 2 Sem 1,,Absent
594,Charmane Demangeon,53WMR18271,RDS,8,Year 1 Sem 3,,Absent
600,Alvira Nance,66WMR42195,RDS,7,Year 1 Sem 3,,Absent
607,Bartolemo Emmot,32WMR29694,RDS,11,Year 1 Sem 2,,Absent
608,Lynnea Conboy,43WMR70812,RDS,2,Year 2 Sem 1,,Absent
610,Melissa Hawkslee,39WMR80816,RDS,4,Year 2 Sem 2,,Absent
616,Lindsy Shorto,83WMR23757,RDS,10,Year 2 Sem 3,,Absent
617,Will Zannotti,06WMR75890,RDS,6,Year 3 Sem 3,,Absent
625,Carolus Tennison,98WMR26209,RDS,4,Year 2 Sem 2,,Absent
628,Hamlen Lief,30WMR29939,RDS,2,Year 1 Sem 2,,Absent
651,Ara Crumbie,50WMR32552,RDS,5,Year 2 Sem 3,,Absent
652,Gerri Conford,42WMR36553,RDS,1,Year 3 Sem 2,,Absent
654,Dacy Lowth,98WMR01246,RDS,1,Year 2 Sem 1,,Absent
657,Gretchen Emmer,78WMR32175,RDS,3,Year 2 Sem 2,,Absent
658,Pattin Bragg,67WMR83479,RDS,6,Year 2 Sem 1,,Absent
661,Molly O' Brian,97WMR06527,RDS,5,Year 1 Sem 2,,Absent
665,Enrika Wipfler,47WMR53041,RDS,4,Year 2 Sem 2,,Absent
669,Merrill Argue,67WMR44660,RDS,6,Year 3 Sem 3,,Absent
673,Tiphany Carnall,24WMR17519,RDS,10,Year 3 Sem 1,,Absent
676,Paulette Vasilechko,27WMR25529,RDS,9,Year 1 Sem 2,,Absent
677,Farlie Dodworth,82WMR88081,RDS,0,Year 1 Sem 2,,Absent
684,Maurice Costy,32WMR02338,RDS,4,Year 3 Sem 1,,Absent
687,Rusty Asel,03WMR74991,RDS,7,Year 3 Sem 3,,Absent
689,Ilka Malan,08WMR70644,RDS,8,Year 3 Sem 2,,Absent
690,Harli Doale,72WMR98994,RDS,4,Year 2 Sem 1,,Absent
706,Breanne Greenaway,93WMR13419,RDS,6,Year 2 Sem 3,,Absent
708,Thekla Hebble,15WMR98582,RDS,6,Year 2 Sem 2,,Absent
709,Padraig Laybourn,12WMR16451,RDS,10,Year 1 Sem 1,,Absent
713,Amory Tatlowe,01WMR23014,RDS,11,Year 3 Sem 3,,Absent
718,Giffie Lighterness,78WMR14505,RDS,4,Year 3 Sem 2,,Absent
723,Patsy Linwood,65WMR25615,RDS,2,Year 1 Sem 1,,Absent
727,Petra Pirazzi,47WMR11095,RDS,2,Year 3 Sem 3,,Absent
729,Clywd Kirkman,02WMR18966,RDS,9,Year 3 Sem 1,,Absent
734,Sara Sketchley,60WMR41435,RDS,10,Year 3 Sem 2,,Absent
740,Celia Hanse,81WMR33558,RDS,1,Year 3 Sem 2,,Absent
741,Aimee Reedshaw,89WMR94331,RDS,6,Year 2 Sem 1,,Absent
746,Filmore Radbone,80WMR52227,RDS,7,Year 2 Sem 2,,Absent
753,Gertruda Lumly,97WMR92386,RDS,8,Year 1 Sem 1,,Absent
761,Tressa Asser,65WMR44139,RDS,11,Year 2 Sem 2,,Absent
763,Maddie O'Cooney,00WMR89586,RDS,4,Year 1 Sem 2,,Absent
772,Dasha Cordoba,72WMR52925,RDS,10,Year 1 Sem 2,,Absent
779,Eugine Gittoes,63WMR86855,RDS,6,Year 3 Sem 3,,Absent
783,Morgan Tomik,99WMR46490,RDS,0,Year 2 Sem 1,,Absent
788,Sallie Riggert,66WMR19533,RDS,2,Year 1 Sem 3,,Absent
795,Lorenzo Hurdiss,12WMR80471,RDS,8,Year 1 Sem 3,,Absent
802,Brinn Fiddyment,07WMR05213,RDS,5,Year 3 Sem 2,,Absent
804,Travers McCaughran,27WMR32577,RDS,7,Year 3 Sem 3,,Absent
806,Shaina Beviss,57WMR79186,RDS,9,Year 2 Sem 3,,Absent
807,Niki Donneely,15WMR97048,RDS,7,Year 1 Sem 3,,Absent
809,Avril Adamczewski,99WMR22968,RDS,0,Year 3 Sem 3,,Absent
811,Phillip Szymaniak,53WMR80201,RDS,0,Year 3 Sem 1,,Absent
813,Granthem Eastridge,62WMR37012,RDS,8,Year 3 Sem 2,,Absent
814,Karola Dolman,37WMR21534,RDS,10,Year 3 Sem 3,,Absent
815,Chen Kach,88WMR14109,RDS,3,Year 2 Sem 1,,Absent
821,Myra Beaven,97WMR77431,RDS,1,Year 3 Sem 1,,Absent
823,Haley Purrier,18WMR14750,RDS,6,Year 2 Sem 2,,Absent
824,Crichton Munford,95WMR58822,RDS,4,Year 3 Sem 3,,Absent
827,Web Gabbotts,55WMR74626,RDS,3,Year 3 Sem 3,,Absent
828,Rich Sheer,67WMR83680,RDS,6,Year 1 Sem 3,,Absent
831,Nina Tschierse,58WMR07720,RDS,2,Year 2 Sem 2,,Absent
833,Bernadina Viant,38WMR53023,RDS,4,Year 3 Sem 3,,Absent
840,Robbin Twizell,04WMR35385,RDS,0,Year 3 Sem 2,,Absent
848,Nanete Spinetti,39WMR84901,RDS,9,Year 3 Sem 1,,Absent
849,Mickie Potte,50WMR40306,RDS,6,Year 1 Sem 1,,Absent
852,Aloysia Beddingham,90WMR62787,RDS,0,Year 2 Sem 3,,Absent
854,Cherish Krysztofowicz,13WMR44730,RDS,10,Year 1 Sem 3,,Absent
855,Fidela Domanski,36WMR00891,RDS,8,Year 3 Sem 2,,Absent
859,Doy Gon,29WMR59359,RDS,4,Year 1 Sem 2,,Absent
873,Bent Paragreen,00WMR70479,RDS,6,Year 2 Sem 2,,Absent
879,Willetta Priestley,56WMR98530,RDS,0,Year 2 Sem 1,,Absent
881,Say Le Blond,96WMR37363,RDS,11,Year 2 Sem 1,,Absent
887,Sara Spatari,42WMR85370,RDS,0,Year 2 Sem 3,,Absent
892,Marrilee Tolerton,14WMR11887,RDS,2,Year 3 Sem 2,,Absent
894,Paxon Leonard,71WMR45488,RDS,8,Year 2 Sem 1,,Absent
895,Thornie Delort,40WMR46286,RDS,2,Year 1 Sem 1,,Absent
897,Gwen Canty,66WMR06319,RDS,5,Year 1 Sem 3,,Absent
900,Phillie Laffranconi,49WMR77151,RDS,9,Year 1 Sem 3,,Absent
901,Patric Medcalfe,81WMR81702,RDS,3,Year 3 Sem 1,,Absent
909,Enid Bearfoot,74WMR82039,RDS,11,Year 1 Sem 1,,Absent
915,Marty Baudinelli,78WMR61959,RDS,3,Year 1 Sem 2,,Absent
919,Camellia Zincke,37WMR19829,RDS,2,Year 3 Sem 2,,Absent
920,Stillmann Parade,14WMR21330,RDS,9,Year 1 Sem 3,,Absent
921,Sherry Evers,96WMR90666,RDS,6,Year 2 Sem 3,,Absent
923,Alberik Baldini,66WMR41508,RDS,11,Year 1 Sem 1,,Absent
924,Claudius Reolfi,97WMR99744,RDS,4,Year 2 Sem 2,,Absent
926,Conrado Arnholz,15WMR62504,RDS,7,Year 1 Sem 2,,Absent
929,Rosa Beckey,78WMR60745,RDS,3,Year 3 Sem 1,,Absent
931,Arlyn Demeter,55WMR76062,RDS,6,Year 1 Sem 1,,Absent
934,Gustav Lalor,52WMR68167,RDS,8,Year 3 Sem 2,,Absent
936,Peyton Cloonan,39WMR13684,RDS,11,Year 3 Sem 2,,Absent
937,Gilbertine Langfat,44WMR88105,RDS,1,Year 2 Sem 1,,Absent
938,Jacquetta Abreheart,25WMR45600,RDS,5,Year 2 Sem 2,,Absent
943,Flemming Doyle,24WMR31055,RDS,10,Year 2 Sem 3,,Absent
952,Ainsley Seeger,73WMR21914,RDS,2,Year 1 Sem 1,,Absent
953,Katherina Limer,35WMR21963,RDS,1,Year 2 Sem 1,,Absent
957,Tanny Griniov,16WMR59496,RDS,11,Year 3 Sem 3,,Absent
965,Marwin Frear,21WMR12639,RDS,11,Year 3 Sem 1,,Absent
974,Doro Toping,99WMR74030,RDS,9,Year 1 Sem 1,,Absent
993,Inessa Francesco,64WMR60479,RDS,6,Year 2 Sem 3,,Absent
999,Neale Dyerson,10WMR25166,RDS,2,Year 2 Sem 3,,Absent
1001,Wong Yew Zun,22WMR05366,RDS,3,Year 3 Sem 2,2023-11-17 12:08:27,Present
